Timestamp,What ZIP code do you live in?,Age?,Which best describes your employment status? ,What is your current housing situation? (select all that apply),What type of dwelling do you currently live in? (select all that apply),How would you rate the affordability of housing in your area?,What is your largest housing-related concern?,Please rate your awareness of public & city issues in the San Antonio area.,"In your current district, what concerns do you have related to job prospects, workforce opportunities, and other areas of economic development? (select all that apply)","Are there opportunities for investment, career growth, and job opportunities in your district? (If possible, please expand on your answer choice in ""Other"")",Which of the following do you believe is the biggest barrier to stable employment in San Antonio? (select all that apply),What types of job training or workforce programs would you most like to see expanded? (select all that apply),"Do you think partnerships between local government and private companies (such as developers or tech firms) help create more jobs and boost the economy in San Antonio? (If possible, please expand on your answer choice in ""Other"")",What is your primary mode of transportation?,How satisfied are you with public transportation in San Antonio?,Which transportation improvements would most benefit your daily life?  (select all that apply),What's a public service or resource your neighborhood is currently lacking? (select all that apply),Do you frequent downtown San Antonio? ,What aspects of San Antonio make you optimistic?,What perspective do you have about development regarding the San Antonio sports and entertainment district?,What should be a top priority for San Antonio's growth? ,How connected do you feel to decision-making in your neighborhood or city?,"How accessible are public community spaces in your district? (ex. Parks, Libraries, Community Centers, etc.)",What types of local businesses or services do you wish existed in your neighborhood but don’t?,Feel free to share any other experiences or opinions as a citizen of your district and San Antonio: (Free Response)
6/25/2025 20:48:17,78256,45–54,Employed full-time,Owning a home or condo,Single-family house,2,Poor housing quality,3,Low wages,Unsure,Childcare or eldercare responsibilities,"Trade or vocational training, Green jobs/sustainability sectors, Healthcare or caregiving roles",Yes,Personal Vehicle,I don't use public transportation,"More sidewalks, Reduced traffic congestion, Safer streets","Public transit options, Affordable child or elder care, Mental health or healthcare services",Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Positive,Education and youth programs,Somewhat connected,7,,
6/25/2025 21:27:08,78261,18–24,employed and student,Living with family or friends (not as a renter or owner),Single-family house,4,Rising rent and/or high housing costs,1,"Not enough job opportunities, Low wages, Older or small workforce base, High cost of living",Unsure,"Lack of job opportunities, Low wages, Inadequate training or education programs","Trade or vocational training, Green jobs/sustainability sectors, Apprenticeships, Soft skills",No,Personal Vehicle,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Safer streets, Lower transportation costs","Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Mental health or healthcare services",Sometimes,"Arts, entertainment, music, San Antonio International Airport Expansion, Low cost of living",Not familiar with current development plans,Public transit and walkability,Not connected at all,1,"Grocery stores, Restaurants/cafes, Coworking spaces",
6/26/2025 0:10:12,78204,25–34,Student,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),4,Rising rent and/or high housing costs,1,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages, Older or small workforce base",Unsure,"Low wages, Inadequate training or education programs","Tech and digital skills, Green jobs/sustainability sectors, Apprenticeships, Soft skills",Yes,Personal Vehicle,Very dissatisfied,"More sidewalks, Reduced traffic congestion, Safer streets","Safe parks or green spaces, Public transit options, Mental health or healthcare services, Job centers or business support",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions",Positive,Public transit and walkability,Neutral,1,"Restaurants/cafes, Coworking spaces, Other",
6/26/2025 2:00:01,78259,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,3,Poor housing quality,4,"Not enough job opportunities, Low wages",No,"Lack of job opportunities, Low wages, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors, Apprenticeships",Maybe,Personal Vehicle,I don't use public transportation,Reduced traffic congestion,"Safe parks or green spaces, Job centers or business support",Yes,"San Antonio International Airport Expansion, Low cost of living",Not familiar with current development plans,Affordable housing,Somewhat connected,8,"Restaurants/cafes, Coworking spaces","I was born and raised in San Antonio TX. I have loved living here due to the strong presence of community as well as the affordable cost of living. The best part is places in San Antonio are in close proximity to housing complexes such as schools, groceries stores, hospitals, and restaurants which makes driving places convenient. "
6/26/2025 23:20:10,78261,18–24,Student,Living with family or friends (not as a renter or owner),Single-family house,3,"Rising rent and/or high housing costs, Limited availability of housing",2,Lack of long-term investment opportunities,Yes,"Transportation challenges, Childcare or eldercare responsibilities",Not interested,It really depends on the company that is helping. I think non-profits typically help a lot more than for-profit as they are not looking to necessarily gain something from the government. For-profits can possibly take advantage of government funds.,Personal Vehicle,Very dissatisfied,"Expanded routes or better coverage, Reduced traffic congestion, Lower transportation costs","Public transit options, Mental health or healthcare services",Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion",Positive,I think Project Marvel is the number one priority. Blending arts/culture with the walkable and accessible urban fabric.,Neutral,5,Other,"I just want the city to understand it can focus on more than one thing. The debate of project marvel, affordable housing, and road congestion don’t have to be mutually exclusive. All three are important to the city’s success and should be treated that way. It doesn’t need to be political or divisive, all are necessary to the growth and longevity of the city and its economy."
6/30/2025 11:10:24,78212,65 or older,Retired,Owning a home or condo,Single-family house,1,"Rising rent and/or high housing costs, Poor housing quality",3,"Not enough job opportunities, abundance of part time jobs, and tourism based on low paying jobs as well, lack of career advances.",Yes,"Transportation challenges, Childcare or eldercare responsibilities, How long bus rides take in SA","Healthcare or caregiving roles, elder care depended on immigrants ",Maybe,Personal Vehicle,Very dissatisfied,"Expanded routes or better coverage, More sidewalks, Reduced traffic congestion",Affordable child or elder care,Yes,"Arts, entertainment, music, Access to top-tier universities and research institutions",Negative,Affordable housing,Somewhat connected,10,Child care/senior care,Gathering like-minded people together to unite and organized community engagement.
6/30/2025 18:47:59,78212,35–44,Employed full-time,Owning a home or condo,Single-family house,4,Rising property value,2,"Not enough job opportunities, Lack of diversity in retail & consumerism, Lack of long-term investment opportunities, High cost of living",No,"Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Apprenticeships",No,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, Safer streets","Safe parks or green spaces, Public transit options, Affordable child or elder care, Mental health or healthcare services, Job centers or business support",Sometimes,,Negative,Affordable housing,Not very connected,8,"Grocery stores, Restaurants/cafes, Child care/senior care",Not excited about Project Marvel. Lower cost housing development is all outside District 1. Everything in this district approaches the $400-$500k and up range. 
6/30/2025 19:02:52,78212,35–44,Homemaker,"Owning a home or condo, Living with family or friends (not as a renter or owner)",Single-family house,4,"Rising rent and/or high housing costs, Limited availability of housing, Poor housing quality, Lack of homeownership opportunities",4,"Lack of diversity in retail & consumerism, Low wages, High cost of living",Yes,"Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Maybe,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Safer streets","Public transit options, Affordable child or elder care, Mental health or healthcare services, Youth programming",Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Bilingual and bicultural education opportunities",Negative,Education and youth programs,Neutral,7,"Child care/senior care, Other",Would like to see more walkable infratructure with safer and shadier sidewalks along with a family walkability campaign. More resourcea for mental health for all types of concerns. Not just crisis situations but clinics to help normalize family mental health issues. We need to heal the abuse rates in our community. If we made every public investment decision by first asking how will this help a family we might see more thoughtful spending and community buy in. 
6/30/2025 19:20:43,78214,35–44,Employed full-time,Renting an apartment or house,"Duplex, triplex, fourplex",4,Rising rent and/or high housing costs,3,High cost of living,Unsure,Low wages,Healthcare or caregiving roles,Maybe,Personal Vehicle,Neutral,"Expanded routes or better coverage, Reduced traffic congestion, Safer streets, Lower transportation costs","Safe parks or green spaces, Public transit options, Mental health or healthcare services, Youth programming",Sometimes,"San Antonio International Airport Expansion, Larger military presence",Neutral,Public safety,Neutral,10,"Restaurants/cafes, Healthcare services, Financial services, Other",More Better Brighter Street Light's and Crossing Medians on S Flores St and Safer Patroling at Schools Free WiFi for low income families to stay connected. 
6/30/2025 19:35:43,78209,65 or older,Policy Consultant,Owning a home or condo,Single-family house,4,Displacement/gentrification,1,"ED has never been practiced, the folks who talk about ED have never worked in our profession. I have been recognized as an expert in this field, but, too many take the liberty of talking-the-talk. The level of professionalism is very low.",This is not a good question to ask.,Gov't-led prosperity & academic exercises is only performative.,"""Job training"" is a dated approach.","SA has ""invested"" in such for 40 yrs, where is the transparency & accountability? I've published on this topic but we have no real peer group to advance on this topic.",Personal Vehicle,Somewhat dissatisfied,Safer streets,Job centers or business support,Sometimes,"SA ranks nat'lly in impoverishment & eco. segregation the past 40 yrs, why are we ALWAYS starting from scratch, as if we have no history or record of civic failure? Why aren't you talking with the few having professional experience & recognized expertise?",Negative,Great need to professionalize in the CED profession; starting from scratch in 2025 sounds like a broken record. Very disappointing to see.,Not connected at all,8,Other,"Your efforts are strictly introductory, for the newcomer citizen. Fine. Why not think about wkg with the other end of the spectrum, however few we are? Much data and analytics already exists; you should refer to yourselfs as an Introductory Survey Team for newcomers in citizen engagement. Due to poor economic policy leadership, SA will always remain a nat'lly ranked poor, and economically segregated city, with a pile of Introductory surveys in academia classrooms. "
6/30/2025 20:29:58,78232,65 or older,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,4,"Rising rent and/or high housing costs, Rising property value",2,High cost of living,Unsure,Low wages,Tech and digital skills,Yes,Personal Vehicle,Somewhat satisfied,Reduced traffic congestion,"Public transit options, Youth programming",Yes,Access to top-tier universities and research institutions,Negative,Affordable housing,Somewhat connected,7,Coworking spaces,
6/30/2025 22:18:27,78230,65 or older,Retired,Owning a home or condo,Single-family house,4,Rising property value,3,High cost of living,Unsure,"Lack of job opportunities, Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Apprenticeships",Maybe,Personal Vehicle,I don't use public transportation,"More frequent bus service, Lower transportation costs",Public transit options,No,nothing,Negative,Job creation,Not very connected,4,Healthcare services,Money wasted on sidewalks where nobody is walking
7/1/2025 1:25:23,78112,45–54,Student,I live in my van,"RV, camper, or van",5,"Rising rent and/or high housing costs, Limited availability of housing, Poor housing quality, Displacement/gentrification, Lack of homeownership opportunities, Rising property value",1,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages, Older or small workforce base, Lack of long-term investment opportunities, High cost of living",No,"Lack of job opportunities, Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, English language or GED programs",Maybe,Ride-share,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets, Lower transportation costs","Access to fresh food/grocery stores, Safe parks or green spaces, Affordable child or elder care, Youth programming, Job centers or business support, Public transit options",No,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence, San Antonio TX used to be a low cost of living city ",Negative,All of the above and keeping immigrants out of our city they are stealing jobs from Americans. ,Not connected at all,1,"Grocery stores, Restaurants/cafes, Healthcare services, Child care/senior care, Financial services, Coworking spaces",Trump is our man if he can't do it no one can!! 
7/1/2025 3:08:40,78247,55–64,Employed full-time,Owning a home or condo,Single-family house,4,"Rising rent and/or high housing costs, Poor housing quality, Rising property value",3,"Lack of diversity in retail & consumerism, Low wages, High cost of living",Unsure,"Lack of job opportunities, Low wages, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors",Maybe,Personal Vehicle,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets, Lower transportation costs","Safe parks or green spaces, Affordable child or elder care, Job centers or business support",Sometimes,"nothing. with tariffs and rising prices everywhere and stupid laws, nothing will flourish in San Antonio",Negative,Affordable housing,Not connected at all,6,"Restaurants/cafes, Coworking spaces, Other","Until price gouging and tariffs go away, there is no way to build QUALITY affordable housing. Until wages go way up, there will be no way for people to AFFORD a home or even a decent rental. It's great that you're asking people what they think but, even if everyone agrees what needs to be done, there is no money to actually do it WELL instead of ""up to our funding"" which is usually 1/4 of the way it should be done. I'm very pessimistic about the world, the state and the city and what it will become the next 3 years. "
7/1/2025 7:38:19,78229,55–64,Employed full-time,Renting an apartment or house,Townhouse or rowhouse,3,Rising rent and/or high housing costs,4,Low wages,No,Low wages,"Trade or vocational training, Soft skills",No,Personal Vehicle,Somewhat satisfied,"More sidewalks, Reduced traffic congestion",Mental health or healthcare services,Sometimes,,Negative,Affordable housing,Not very connected,8,Grocery stores,
7/1/2025 7:41:32,78247,55–64,Employed full-time,Owning a home or condo,Single-family house,2,Limited availability of housing,3,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages, Older or small workforce base, Lack of long-term investment opportunities, High cost of living",Unsure,"Low wages, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles, Apprenticeships",Maybe,Personal Vehicle,Somewhat dissatisfied,"Reduced traffic congestion, Safer streets, Lower transportation costs","Affordable child or elder care, Youth programming, Job centers or business support",Sometimes,"Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Negative,Affordable housing,Somewhat connected,10,Coworking spaces,Doing a better job of keeping our streets and roadways free of debris.  Have city services make routine visits of intersections and underpasses.
7/1/2025 8:23:23,78212,55–64,Employed full-time,Owning a home or condo,"Duplex, triplex, fourplex",4,Displacement/gentrification,1,"Low wages, Lack of long-term investment opportunities, High cost of living",Unsure,"Low wages, Transportation challenges, Childcare or eldercare responsibilities, inability to afford training or education","Tech and digital skills, Green jobs/sustainability sectors, Apprenticeships",Maybe,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, Safer streets","Safe parks or green spaces, Affordable child or elder care, Mental health or healthcare services",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions",Neutral,higher wages for working class labor,Very connected,9,"Restaurants/cafes, Child care/senior care, Coworking spaces",
7/1/2025 9:07:42,78201,25–34,Employed full-time,Renting an apartment or house,"Duplex, triplex, fourplex",4,"Rising rent and/or high housing costs, Poor housing quality, Displacement/gentrification, Lack of homeownership opportunities",2,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages, Older or small workforce base",Unsure,"Lack of job opportunities, Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Green jobs/sustainability sectors, Apprenticeships, English language or GED programs","I expect that private companies guarantee local jobs as a minimum requirement for partnering with local governments. However, I am troubled by the fact that many of the jobs created are low-wage and that many private companies capitalize on San Antonio's lack of organized labor and worker wage/benefit guarantees.",Personal Vehicle,Somewhat dissatisfied,"More sidewalks, Reduced traffic congestion, Safer streets","Affordable child or elder care, Mental health or healthcare services, Job centers or business support",Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Low cost of living, Green spaces, strong connection to multiple cultures, interconnected lives of many residents",Negative,adult education and labor organization ,Somewhat connected,7,"Restaurants/cafes, Healthcare services, Child care/senior care",
7/1/2025 9:11:12,78259,65 or older,Employed full-time,Owning a home or condo,Single-family house,2,Displacement/gentrification,2,Lack of long-term investment opportunities,Unsure,"Low wages, Transportation challenges, Language or immigration barriers","Trade or vocational training, Green jobs/sustainability sectors, Apprenticeships",Yes,Personal Vehicle,Very dissatisfied,"Expanded routes or better coverage, Reduced traffic congestion","Safe parks or green spaces, Public transit options",Sometimes,"Arts, entertainment, music, San Antonio International Airport Expansion",Positive,Climate resilience/sustainability,Neutral,7,Grocery stores,
7/1/2025 10:04:33,78249,65 or older,Employed full-time,Owning a home or condo,Single-family house,2,Lack of homeownership opportunities,2,Low wages,Yes,"Low wages, Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, English language or GED programs",Yes,Personal Vehicle,Somewhat dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks","Affordable child or elder care, Youth programming",Sometimes,"Growing Tech Hub scene, Access to top-tier universities and research institutions, Low cost of living",Negative,Affordable housing,Somewhat connected,8,"Restaurants/cafes, Child care/senior care, Coworking spaces","Our transit system appears to be primarily used by low-income residents and by residents who drive to VIA hubs for fast transportation to the downtown area. Due to the extreme weather conditions in San Antonio, I doubt VIA’s ridership will ever increase. Other than hub connectivity and convenience, it is used by residents who do not have other transportation options. Make it best for low-income residents, with expanded and improved bus stop shelters that provide protection from the sun and rain, add more stops on routes to and from the east, west and south sides to central downtown - that’s how you build equity. Meet residents where they’re at and level them up. Also, is this survey available and accessible to residents with limited English Language Proficiency? They are an important part of our community and you should be interested in their thoughts and opinions about San Antonio. Thanks."
7/1/2025 10:07:14,78240,65 or older,Retired,Owning a home or condo,Single-family house,5,Rising property value,3,High cost of living,Unsure,Low wages,"Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills",Yes,Personal Vehicle,Neutral,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets, Lower transportation costs","Affordable child or elder care, Mental health or healthcare services",No,"Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Larger military presence",Negative,Public safety,Somewhat connected,8,Other,Lack of safe and suitable housing and care giving services for the disabled and elderly 
7/1/2025 10:37:54,78217,25–34,Employed full-time,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),4,"Rising rent and/or high housing costs, Limited availability of housing, Poor housing quality, Lack of homeownership opportunities",3,none ,Yes,"Low wages, Childcare or eldercare responsibilities",Not interested,Maybe,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces, Affordable child or elder care, Mental health or healthcare services, Youth programming",Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions",Positive,Affordable housing,Somewhat connected,10,,
7/1/2025 11:02:29,78245,35–44,Disabled Veteran,Owning a home or condo,Single-family house,4,"Rising rent and/or high housing costs, Poor housing quality, Lack of homeownership opportunities, Rising property value",3,"Not enough job opportunities, Low wages",My freshly graduated high school kids are struggling to find employment.,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, Soft skills, I would greatly appreciate Spanish language classes",Of course they do but they need to be regulated to ensure public safety.,Personal Vehicle,Very dissatisfied,Expanded routes or better coverage,"Access to fresh food/grocery stores, Public transit options, Affordable child or elder care, We are about to gain a fresh food spot, nice. Public transport spots could use a human touch.",Yes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions",Not familiar with current development plans,How do you pick one of these? All. But Climate is my focus.,Somewhat connected,7,"Child care/senior care, Other","Why doesn't this city invest in better indoor sporting complexes for regular people? Pools, indoor park type spaces; recreational with AC. We love outside but with a heat casualty in the family it keeps us restricted; I cannot imagine we would be the only ones to appreciate such an investment? Also. I am growing increasingly concerned with San Antonio's near future habitability! Have you guys been looking at current scientific probablities of what might happen; quite soon, too? When is awareness of this issue going to be a spotlight? Also, why doesn't Bexar county start an initiative for a nonbiased publication with website to be mailed to every registered voter maybe a month before elections with POV on possible legislation with bio's for candidates? Whole states do it. Also, the survey touched on it but transportation is stoopid abysmal. Why the lack of shelter from the elements? I realize that will collect homeless but then we shift to figuring resources out for that problem, right? We have several small governments with impactful initiatives we could try here around homelessness. Lastly, I appreciate this email/survey and look forward to more."
7/1/2025 11:38:26,78240,25–34,Employed full-time,Owning a home or condo,Single-family house,3,Rising rent and/or high housing costs,1,Lack of diversity in retail & consumerism,Yes,"Low wages, Inadequate training or education programs, Transportation challenges","Trade or vocational training, Tech and digital skills",Yes,Personal Vehicle,Somewhat dissatisfied,"More sidewalks, Reduced traffic congestion","Youth programming, Job centers or business support",Yes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion",Positive,Job creation,Somewhat connected,8,"Restaurants/cafes, Coworking spaces",
7/1/2025 12:45:52,78202,55–64,Retired,Owning a home or condo,Single-family house,3,Rising property value,2,"Lack of diversity in retail & consumerism, Older or small workforce base",Unsure,"Lack of job opportunities, Low wages, Inadequate training or education programs","Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles",No,Personal Vehicle,Somewhat satisfied,"More sidewalks, Reduced traffic congestion, Safer streets","Access to fresh food/grocery stores, Safe parks or green spaces",Sometimes,Low cost of living,Negative,Public safety,Somewhat connected,4,Restaurants/cafes,
7/1/2025 13:03:37,78212,55–64,Employed full-time,Owning a home or condo,Single-family house,5,Rising property value,1,"Older or small workforce base, Lack of long-term investment opportunities, High cost of living",No,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships, English language or GED programs",Maybe,Personal Vehicle,I don't use public transportation,"More sidewalks, Reduced traffic congestion, Safer streets",Youth programming,Yes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Low cost of living",Neutral,Affordable housing,Not very connected,10,Other,I do not like the fact that Monte Vista traffic will increase because of changes to San Pedro with the green line. We need more bike lanes on this city and parking enforcement for bike lanes. 
7/1/2025 13:37:37,78229,55–64,Employed full-time,Renting an apartment or house,Apartment in a low-rise building (1-3 stories),1,Rising rent and/or high housing costs,1,"Not enough job opportunities, Low wages",Unsure,"Low wages, Transportation challenges, Childcare or eldercare responsibilities","Trade or vocational training, Tech and digital skills, Healthcare or caregiving roles",Yes,Personal Vehicle,Neutral,"Reduced traffic congestion, Safer streets",Job centers or business support,Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Larger military presence",Negative,Job creation,Neutral,9,Child care/senior care,
7/1/2025 15:28:34,78261,18–24,Employed part-time,Living with family or friends (not as a renter or owner),Single-family house,3,Poor housing quality,2,"Low wages, High cost of living",Yes,Low wages,"Tech and digital skills, Apprenticeships",Yes,Personal Vehicle,Somewhat dissatisfied,Lower transportation costs,"Access to fresh food/grocery stores, Safe parks or green spaces, Public transit options, Mental health or healthcare services",Yes,"Arts, entertainment, music, Growing Tech Hub scene",Neutral,Small business development,Somewhat connected,6,"Grocery stores, Financial services",
7/1/2025 16:47:04,78256,35–44,Employed full-time,Owning a home or condo,Single-family house,4,No housing concerns,5,None,Unsure,I don’t know ,"Trade or vocational training, Tech and digital skills, Apprenticeships",Yes,Personal Vehicle,I don't use public transportation,Reduced traffic congestion,None,Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion",Positive,Public transit and walkability,Not connected at all,8,Other,None
7/1/2025 17:38:57,78253,25–34,Employed full-time,Living with family or friends (not as a renter or owner),Single-family house,3,Rising rent and/or high housing costs,3,"Older or small workforce base, High cost of living",Unsure,"Low wages, Transportation challenges, Childcare or eldercare responsibilities",Not interested,Maybe,Personal Vehicle,I don't use public transportation,Reduced traffic congestion,Job centers or business support,No,"Growing Tech Hub scene, San Antonio International Airport Expansion, Larger military presence",Neutral,Public transit and walkability,Neutral,8,,
7/1/2025 18:07:02,78229,18–24,Student,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),2,No housing concerns,2,"Older or small workforce base, Lack of long-term investment opportunities",Unsure,Transportation challenges,"Trade or vocational training, Green jobs/sustainability sectors, Healthcare or caregiving roles",I'd say the private funding for more transportation options can be vital to create more jobs (easier to access the city rather than relying on uber or paid buses),Personal Vehicle,Somewhat dissatisfied,"Expanded routes or better coverage, Lower transportation costs","Safe parks or green spaces, Public transit options",Sometimes,"Arts, entertainment, music, San Antonio International Airport Expansion, Access to top-tier universities and research institutions, Low cost of living",Positive,Public transit and walkability,Neutral,3,Other,More community centers for indoor pickleball would be nice (very hot outside lately). The indoor pickleball places that do exist now are wildly expensive ($500+ a year). Also more affordable bus/transit options that can get me downtown that is more convenient than using Uber all the time which get stuck in traffic anyways.
7/1/2025 22:42:04,78215,25–34,Employed full-time,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),4,"Limited availability of housing, Poor housing quality",1,"Not enough job opportunities, Lack of diversity in retail & consumerism, Low wages",No,"Low wages, Transportation challenges","Trade or vocational training, Tech and digital skills, Green jobs/sustainability sectors, Healthcare or caregiving roles, Apprenticeships",Maybe,Personal Vehicle,Very dissatisfied,"More frequent bus service, Expanded routes or better coverage, More sidewalks, Reduced traffic congestion, Safer streets","Access to fresh food/grocery stores, Public transit options, Youth programming",Yes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Larger military presence, Low cost of living",Positive,Public transit and walkability,Somewhat connected,7,Grocery stores,Housing density and public transit would unlock this city’s potential
7/2/2025 0:43:24,78229,55–64,Employed full-time,Renting an apartment or house,Single-family house,5,Rising rent and/or high housing costs,1,Low wages,Yes,Low wages,Healthcare or caregiving roles,Yes,Personal Vehicle,Neutral,"Reduced traffic congestion, Safer streets",Safe parks or green spaces,No,Growing Tech Hub scene,Negative,Public safety,Neutral,7,Restaurants/cafes,We need judges and the district attorney to take property and violent crime more seriously 
7/2/2025 0:58:07,78209,45–54,Employed part-time,Owning a home or condo,Single-family house,4,Rising rent and/or high housing costs,3,"Not enough job opportunities, Low wages, Lack of long-term investment opportunities, High cost of living",Unsure,Clics people tend to remain within social circle,"Tech and digital skills, Healthcare or caregiving roles, Soft skills",Maybe,Personal Vehicle,Somewhat satisfied,Safer streets,Mental health or healthcare services,Sometimes,"Arts, entertainment, music, Authentic Mexican community of the west side ",Negative,Affordable housing,Not very connected,9,Other,We need to replace asphalt and concrete with trees and restore the land because our lives depend on it
7/2/2025 9:12:35,78212,65 or older,Retired,"Assisted living, group home, or other supportive housing","Group home, assisted living, or supportive housing",4,Rising rent and/or high housing costs,2,Low wages,Unsure,"Low wages, Transportation challenges","Trade or vocational training, Green jobs/sustainability sectors, Soft skills",Yes,Personal Vehicle,I don't use public transportation,Expanded routes or better coverage,Access to fresh food/grocery stores,Sometimes,"Arts, entertainment, music, Access to top-tier universities and research institutions, Low cost of living",Negative,Affordable housing,Somewhat connected,8,Grocery stores,
7/2/2025 15:25:15,78240,65 or older,Retired,Owning a home or condo,Single-family house,2,Rising property value,3,"Not enough job opportunities, Lack of long-term investment opportunities",Yes,"Low wages, Childcare or eldercare responsibilities, Language or immigration barriers","Trade or vocational training, Healthcare or caregiving roles, Apprenticeships",Unsure,Personal Vehicle,I don't use public transportation,"Reduced traffic congestion, Safer streets",Affordable child or elder care,Yes,"Arts, entertainment, music, Growing Tech Hub scene, San Antonio International Airport Expansion, Access to top-tier universities and research institutions",Neutral,Arts and culture investments,Neutral,10,"Healthcare services, Financial services",
7/3/2025 7:21:50,78257,65 or older,Retired,Renting an apartment or house,Apartment in a mid-rise or high-rise apartment (4+ stories),3,Rising rent and/or high housing costs,2,Force people to work or deport them.,Yes,Mental illness and addiction,Healthcare or caregiving roles,Yes,Walking,Somewhat satisfied,More sidewalks,More sidewalks and trails.,No,Greenway trails,Neutral,"Trails, sidewalks, and pubic safety",Not very connected,6,Other,Please extend Greenway trails and connect them to more neighborhoods.
7/3/2025 10:13:06,78249,55–64,Employed full-time,Owning a home or condo,Single-family house,4,"Displacement/gentrification, Rising property value",3,High cost of living,Yes,"Inadequate training or education programs, Transportation challenges, Childcare or eldercare responsibilities","Tech and digital skills, Healthcare or caregiving roles",Yes,Personal Vehicle,I don't use public transportation,"More sidewalks, Safer streets",Affordable child or elder care,Sometimes,"Arts, entertainment, music, Growing Tech Hub scene, Access to top-tier universities and research institutions",Negative,Affordable housing,Neutral,10,Child care/senior care,
