OBJECTID,CartID,MSAG_Name,FromStreet,ToStreet,Jurisdiction,District,LengthFeet,InstallDate,ProjectName,VendorProjectName,PCI,Comments,ROW_Type,Surface_Type,PavementWidth,SpeedLimit,OneWay,Owner,ROAD_CLASSIFICATION,RoadFunction,MaintenanceResponsibility,Status,SweepingSchedule,Stage,Historical_ID,GoogleMapView,created_date,last_edited_date,GlobalID,Shape_Length
20965,846005,BABCOCK RD,JOHN SMITH DR,MEDICAL DR,San Antonio,7_8,554.2039068,1980-01-01,Unknown,,67.74,Pavement width updated based in field reviews. 2/24/23,Street,AC Asphalt Concrete,88,0,No,San Antonio,1,Principal,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,846005,http://www.google.com/maps/place/29.50674138N 098.58687703W,2022-11-30 1:11:13,2024-06-23 9:18:46,{259176A7-42A7-406D-9A96-54A40DBBA849},554.2039068
21279,846012,BABCOCK RD,CENTERVIEW,BABCOCK RD,San Antonio,7,200.6708477,1980-01-01,Unknown,,79.48,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule2,Existing,846012,http://www.google.com/maps/place/29.48848284N 098.56654314W,2022-11-30 1:11:13,2024-06-23 9:18:45,{FD0A6528-ED40-4E6F-B915-B717E8D7F674},200.6708477
21421,416730,E PIEDRAS DR,NW LOOP 410 ACCESS RD,CENTERVIEW,San Antonio,7,467.1007441,1980-01-01,Unknown,,66.41,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,60,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,416730,http://www.google.com/maps/place/29.48838922N 098.56862055W,2022-11-29 21:33:13,2024-06-20 18:04:44,{783A1753-6CAF-426A-9DF5-CD5E453A6027},467.1007441
21551,416732,W PIEDRAS DR,CENTERVIEW,NW LOOP 410 ACCESS RD,San Antonio,7,457.4348321,1980-01-01,Unknown,,47.71,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,416732,http://www.google.com/maps/place/29.48854564N 098.57290166W,2022-11-29 19:01:06,2024-06-24 6:18:55,{24A0E2BB-2F4C-407F-8947-60E2E6D9AFC5},457.4348321
21702,406394,FARMSVILLE DR,DOVE CRK,CENTERVILLE,San Antonio,4,338.7936022,1980-01-01,Unknown,,78.87,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,406394,http://www.google.com/maps/place/29.40745567N 098.67530145W,2022-11-29 20:41:39,2024-06-20 18:02:55,{910160CE-5AFC-4F5B-B315-C03978691B7A},338.7936021
21802,520516,FLEMING SURF,CENTER SPG,RAIN SHORE,San Antonio,8,304.732404,1980-01-01,Unknown,,89.17,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,520516,http://www.google.com/maps/place/29.55828196N 098.64061331W,2022-11-29 21:05:04,2024-06-23 8:11:50,{EDC821FF-C74D-44DE-8FF6-40FD79BED7BC},304.732404
22662,8477013,STONEWALL PKWY,IH 10 W ACCESS RD,STONEWALL PKWY,San Antonio,8,476.4535798,2000-01-01,Stonewall_Estates_U-1 Plat050489 (see attached) Construction Inspection letter indicates Private; but is probably in error because plat indicates Public for Stonewall Pkwy and Stonewall Hill.  Gated Community to west of is Private.,,33.59,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28.5,0,No,San Antonio,3,Local,COSA - Public Works Dept,TBD,TBD,Existing,8477013,Not Available,2022-11-30 1:39:17,2024-06-23 9:26:38,{B49DF379-B4FE-4D47-8A2E-0E42C990E68D},476.4535798
23055,210305,SANDBROOK HILL,BOX ELDER HILL,SILVERFEATHER,San Antonio,7,510.0720855,2000-01-01,Unknown,,87.38,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28.5,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,TBD,Existing,210305,Not Available,2022-11-30 0:54:40,2024-06-23 9:13:01,{426ADAF8-56EB-4708-93E3-08EADE6FFD7D},510.0720855
23571,505811,E HOUSTON ST,COCA COLA PLACE,AT AND T CENTER PKWY,San Antonio,2,1240.500773,1980-01-01,Unknown,,77.31,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,60,40,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,505811,http://www.google.com/maps/place/29.42504986N 098.43706996W,2022-11-29 19:18:21,2024-06-24 6:34:41,{D210F814-EE8D-436E-8BDB-A75DC1C08FC9},1240.500773
24260,430492,BABCOCK RD,NW LOOP 410 ACCESS RD,CENTERVIEW,San Antonio,7,128.5942836,1980-01-01,Unknown,,80.06,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,36,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,430492,http://www.google.com/maps/place/29.48852413N 098.56640604W,2022-11-29 20:41:39,2024-06-20 18:02:53,{28AF47C5-47BC-4F71-A746-995515BF7E2C},128.5942836
24668,8476703,TOWER OF THE AMERICAS WAY,E COMMERCE ST,E MARKET ST,San Antonio,1,350.1108537,2014-12-15,Unknown,,82.97,HB Gonzalez Convention Center Sub Plat #13-0609,Street,AC Asphalt Concrete,28.5,0,Yes,San Antonio,1,Local,COSA - Public Works Dept,Active,,Existing,8476703,http://www.google.com/maps/place/29.42188418N 098.48116171W,2022-11-30 1:39:17,2024-06-20 18:06:41,{7AE702E8-3E2F-416E-81A0-548D48A45E01},350.1108537
24833,505432,N GRIMES ST,GIBBS ST,CENTER ST,San Antonio,2,305.5001262,1980-01-01,Unknown,,78.13,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,IMP Complete,Schedule1,Existing,505432,http://www.google.com/maps/place/29.42215134N 098.44991943W,2022-11-29 20:27:43,2024-06-20 18:02:31,{6D9CB8C7-FEF5-4F77-B28C-6C19D72C930C},305.5001262
25285,8482237,FLOYD CURL,FAWN MEADOW,OAKLAND RD,San Antonio,8,986.2366281,2005-05-25,street segment split due to Medical Center Residential,,16.97,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,44,0,No,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule2,Existing,8482237,http://www.google.com/maps/place/29.52437747N 098.59107583W,2022-11-30 1:11:13,2024-06-23 9:17:31,{DC7BACD9-CAAA-4E12-AFA6-F720F3FE4BA5},986.2366281
25454,312915,MOONLIGHT TERRACE,CENTERWAY,EARLYWAY,San Antonio,2,183.2499616,1980-01-01,Unknown,,43.24,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,312915,http://www.google.com/maps/place/29.53355810N 098.38461285W,2022-11-29 21:23:51,2024-06-23 8:26:40,{3DB92282-74CA-4E66-9B9F-3D9864263050},183.2499616
25880,846011,BABCOCK RD,NW LOOP 410 ACCESS RD,CENTERVIEW,San Antonio,7,69.42249887,1980-01-01,Unknown,,88.35,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,36,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,846011,http://www.google.com/maps/place/29.48863902N 098.56668490W,2022-11-30 1:11:13,2024-06-23 9:18:47,{16246C7D-3F81-4A4C-A161-392C5938BE6D},69.42249887
26511,846039,MEDICAL DR,FLOYD CURL,WURZBACH RD,San Antonio,8,2044.871314,1980-01-01,Unknown,,53.81,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,54,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule2,Existing,846039,http://www.google.com/maps/place/29.50962350N 098.57716056W,2022-11-30 1:11:13,2024-06-20 18:06:22,{12568DC0-63EF-47D6-BE12-19A948423DEF},2044.871314
26634,318850,INDUSTRY PARK DR,GOLDFIELD,SPACE CENTER DR,San Antonio,2,893.8170276,1980-01-01,Unknown,,99.61,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Collector,COSA - Public Works Dept,TBD,Schedule1,Existing,318850,http://www.google.com/maps/place/29.47713374N 098.40362452W,2022-11-29 20:32:17,2024-06-23 7:43:35,{9011A102-92BF-44C4-9B60-8E935B9F10FC},893.8170276
26722,521248,KYLE SEALE PKWY,TUFFS HOLW,CENTER SPG,San Antonio,7_8,381.4340678,1980-01-01,Unknown,,74.76,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,521248,http://www.google.com/maps/place/29.55816838N 098.64407553W,2022-11-29 18:48:22,2024-06-24 15:58:27,{09945B3D-CDA5-43F8-8E49-8DE75A151F47},381.4340678
27028,416741,BABCOCK RD,NW LOOP 410 ACCESS RD,CENTERVIEW,San Antonio,7,199.3147483,1980-01-01,Unknown,,75.92,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,36,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,416741,http://www.google.com/maps/place/29.48885799N 098.56697839W,2022-11-29 20:08:34,2024-06-23 7:22:06,{C1DCBC32-9BE3-4070-8DFD-7E3DFEC112EA},199.3147483
27449,502715,N OLIVE ST,CENTER ST,POTOMAC ST,San Antonio,2,245.5247848,1980-01-01,Unknown,,49.47,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,502715,http://www.google.com/maps/place/29.42280132N 098.47178355W,2022-11-29 21:47:41,2024-06-23 8:45:52,{9F862561-776C-4178-9DE8-CF16C61E1974},245.5247848
28137,849404,MEDICAL DR,MEDICAL DR,EWING HALSELL,San Antonio,8,2047.097537,2000-01-01,Unknown,,96.14,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,50,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule2,Existing,849404,http://www.google.com/maps/place/29.51265959N 098.56933104W,2022-11-30 1:33:36,2024-06-20 18:06:40,{F5336DDF-DED9-4FD5-967F-52B180B40C64},2047.097537
28480,310483,BUSINESS PARK,SERVICE CENTER DR,RITTIMAN CROSS,San Antonio,2,2816.253095,1980-01-01,Unknown,,22.99,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,310483,http://www.google.com/maps/place/29.47911667N 098.39347156W,2022-11-29 20:46:20,2024-06-23 7:53:37,{2E28DDE8-264B-48AA-90E3-E7479ECC2FBB},2816.253095
28742,416916,MEDICAL DR,EWING HALSELL,FLOYD CURL,San Antonio,8,989.3706538,1980-01-01,Unknown,,55.78,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,42,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,416916,http://www.google.com/maps/place/29.50965954N 098.57257541W,2022-11-29 19:18:21,2024-06-24 16:22:34,{681DA5C4-5AE0-46B2-A9B6-24CF8F6DFD58},989.3706538
29308,415809,BLUFFCREEK DR,MEDICAL DR,BLUFFDALE,San Antonio,8,650.9290595,1980-01-01,Unknown,,89.87,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,44,30,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,415809,http://www.google.com/maps/place/29.52009762N 098.56131768W,2022-11-29 19:45:06,2024-06-24 16:49:53,{D01B6435-F3A5-4D23-8BD1-32FA2C9D41EF},650.9290595
30528,504615,SCHOOL ST,RR CROSSING,MONROE,San Antonio,3,353.9897682,1980-01-01,Unknown,,92.05,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504615,http://www.google.com/maps/place/29.38867026N 098.48325316W,2022-11-29 21:23:51,2024-06-23 8:27:42,{421C628D-3EE2-458D-AEC2-4FDB6150061C},353.9897682
31015,518905,SHIVALIK WAY,MAJESTIC DR,TELDER PATH,San Antonio,7,245.7733592,1980-01-01,Unknown,,55.65,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,518905,http://www.google.com/maps/place/29.46361182N 098.59410868W,2022-11-29 21:19:04,2024-06-23 8:22:27,{312B91E3-0F93-4053-98C6-E5CD49DE6B66},245.7733592
31287,8481119,ELDER BEND,STILL PASS,OVERTON WAY,San Antonio,3,313.6679011,2021-04-15,Mission Del Lago Unit 14A (T.I.F.) Plat #20-11800017,,80.22,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,30,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,8481119,http://www.google.com/maps/place/29.29544039N 098.48231194W,2022-11-30 2:01:48,2024-06-20 18:06:52,{DE3D9A65-1D28-446E-B94A-ACC72927DEE8},313.6679011
31416,502549,CENTER ST,CHESTNUT ST,HOEFGEN AVE,San Antonio,2,591.9113957,1980-01-01,Unknown,,26.26,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,34,0,Yes,San Antonio,1,Local,COSA - Public Works Dept,TBD,Nightly,Existing,502549,http://www.google.com/maps/place/29.42248945N 098.47912105W,2022-11-29 20:27:43,2024-06-23 7:37:17,{F6742047-965C-4C93-806D-234BC4177498},591.9113957
31540,415965,OAKLAND RD,S RINCON BLVD,REDWING DR,San Antonio,8,479.1247486,2022-06-08,Medical Center Residential Replat and Sub Plat 20-11800279,,96.96,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,415965,http://www.google.com/maps/place/29.52287275N 098.59264096W,2022-11-30 0:49:10,2024-06-20 18:06:11,{A706A75D-37F7-420F-80EF-059F7C243A10},479.1247486
32293,502553,CENTER ST,N SWISS,N MESQUITE ST,San Antonio,2,232.7636167,1980-01-01,Unknown,,49.53,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,502553,http://www.google.com/maps/place/29.42246519N 098.47511953W,2022-11-29 21:23:51,2024-06-23 8:29:12,{C4EA06E5-0D63-4572-A3FF-5A4FB42887E6},232.7636166
32770,501458,CENTER RD,SOUTHTON RD,ROAD 1,San Antonio,3,573.0545646,1980-01-01,Unknown,,75.58,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,Reviewed,Schedule1,Existing,501458,http://www.google.com/maps/place/29.30182265N 098.43189362W,2022-11-29 22:52:32,2024-06-23 9:06:41,{F7392906-317F-4D03-A96E-550CE7775AB2},573.0545646
33318,415976,S RINCON BLVD,RICHVIEW,OAKLAND RD,San Antonio,8,1199.474592,2022-06-08,Medical Center Residential Replat and Sub Plat 20-11800279,,96.96,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,415976,http://www.google.com/maps/place/29.52258350N 098.59514616W,2022-11-30 0:49:10,2024-06-20 18:06:11,{C83A7B34-7D06-42F2-9A3E-A04017AD919A},1199.474592
33484,504335,LINDA LOU DR,BOXELDER,S HACKBERRY ST,San Antonio,3,145.5174329,1980-01-01,Unknown,,68.83,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,30,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504335,http://www.google.com/maps/place/29.37791517N 098.47364786W,2022-11-29 20:37:04,2024-06-20 18:02:52,{FB781D7D-54C4-4E6D-BDF8-A3204924E658},145.5174329
33508,845262,MEDICAL DR,FREDERICKSBURG RD,MEDICAL DR,San Antonio,8,921.6976172,1980-01-01,Unknown,,72.11,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,42,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,Recieved,Schedule2,Existing,845262,http://www.google.com/maps/place/29.51397398N 098.56834658W,2022-11-30 1:11:13,2024-06-20 18:06:20,{F1FB3CE0-13C2-42E6-A49C-35D753E6DC60},921.6976172
33571,504613,SCHOOL ST,NAYLOR,DOUP,San Antonio,3,134.1951077,1980-01-01,Unknown,,96.19,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504613,http://www.google.com/maps/place/29.38887517N 098.48187239W,2022-11-29 20:13:17,2024-06-20 18:01:59,{FB7EB02A-546D-401D-A9FE-1D4C8FB13FB0},134.1951076
33680,502656,N CHERRY,CENTER ST,E CROCKETT ST,San Antonio,2,470.577867,1980-01-01,Unknown,,65.57,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Collector,COSA - Public Works Dept,TBD,Nightly,Existing,502656,http://www.google.com/maps/place/29.42311028N 098.47620639W,2022-11-29 20:37:04,2024-06-20 18:02:52,{CA916AC9-D888-4643-9DA8-742F7A361692},470.577867
33861,309030,MOUNTAINSIDE RDG,ELDERPATH PLACE,CORTLAND CRK,San Antonio,10,446.7577247,1980-01-01,Unknown,,79.85,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,309030,http://www.google.com/maps/place/29.57687945N 098.34896035W,2022-11-29 21:47:41,2024-06-20 18:05:04,{97E6449F-99CF-40C9-BA02-C4263B2F63BF},446.7577247
34061,312916,STARLIGHT TERRACE,EVENINGWAY,CENTERWAY,San Antonio,2,837.2562737,1980-01-01,Unknown,,40.73,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,312916,http://www.google.com/maps/place/29.53270052N 098.38688858W,2022-11-29 21:33:13,2024-06-23 8:34:30,{A0FE07D9-E697-437A-A7EF-91A2F0593CC4},837.2562737
34170,8479519,WELDER OAK,ENGELMANN OAK,AJO OAK,San Antonio,3,172.3690023,2021-11-04,"Heritage Oaks Unit-4, 19-11800324 MR",,85.19,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,New,Schedule1,Existing,8479519,http://www.google.com/maps/place/29.31380829N 098.43499477W,2022-11-30 1:56:10,2024-06-20 18:06:50,{4F7F0554-09BF-4F76-A44F-0BE2B1833C14},172.3690023
34477,407616,CENTERGROVE,CRESTFIELD,CANYONWOOD LN,San Antonio,6,939.2534171,1980-01-01,Unknown,,91.93,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,407616,http://www.google.com/maps/place/29.42882960N 098.62851984W,2022-11-29 19:05:30,2024-06-24 16:11:10,{B2354D94-97FC-4A41-965E-5DE358C2A1D3},939.2534171
34796,416658,MEDICAL DR,BABCOCK RD,ROWLEY RD,San Antonio,8,1337.270359,1980-01-01,Unknown,,28.32,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,42,30,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,416658,http://www.google.com/maps/place/29.50758511N 098.59112252W,2022-11-29 20:03:51,2024-06-23 7:19:45,{2BCBA75A-2427-443B-833B-83580AE0877C},1337.270359
34900,520591,KYLE SEALE PKWY,CENTER SPG,TUFFS HOLW,San Antonio,7_8,378.3266842,1980-01-01,Unknown,,90.13,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,520591,http://www.google.com/maps/place/29.55816881N 098.64419821W,2022-11-29 20:18:05,2024-06-20 18:02:14,{ECE43BF0-2E26-4B5E-A256-B5F5F055A69B},378.3266842
35415,304091,GATECREST ST,PERRIN BEITEL,CENTER GATE DR,San Antonio,10,1197.777151,1980-01-01,Unknown,,22.91,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,IMP Complete,Schedule1,Existing,304091,http://www.google.com/maps/place/29.52178667N 098.40975771W,2022-11-29 21:37:58,2024-06-23 8:40:31,{8CA4D0DF-68ED-453C-AFAA-4B2C77A6ECF6},1197.777151
35774,502556,CENTER ST,N OLIVE ST,N PINE ST,San Antonio,2,482.5078559,1980-01-01,Unknown,,56.74,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,22,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,502556,http://www.google.com/maps/place/29.42246449N 098.47102192W,2022-11-29 19:49:38,2024-06-24 7:08:28,{0FEED145-85E2-49EE-B11B-EE767B2E1338},482.5078559
35950,8477797,CENTERPIECE DR,NE LOOP 410 ACCESS RD,CORNERWAY BLVD,San Antonio,2,477.2639777,2000-01-01,Unknown,,67.49,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,44,0,No,San Antonio,1,Local,COSA - Public Works Dept,New,Schedule1,Existing,8477797,http://www.google.com/maps/place/29.44569435N 098.39670721W,2022-11-30 1:44:56,2024-06-23 9:28:16,{1F1619B0-DBE3-4D3A-B475-358A96DDA368},477.2639777
36402,516531,STONEWALL PKWY,STONEWALL PKWY,STONEWALL HILL,San Antonio,8,812.693522,2000-01-01,Stonewall_Estates_U-1 Plat050489 (see attached) Construction Inspection letter indicates Private; but is probably in error because plat indicates Public for Stonewall Pkwy and Stonewall Hill.  Gated Community to west of is Private.,,83.56,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28.5,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,TBD,Existing,516531,Not Available,2022-11-30 0:21:42,2024-06-25 15:52:20,{5C4958BF-09D3-456B-BAD5-752D546B64AF},812.693522
37228,312852,SPACE CENTER DR,INDUSTRY PARK DR,Dead End,San Antonio,2,2485.573243,1980-01-01,Unknown,,21.4,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Local,COSA - Public Works Dept,Estimate,Schedule1,Existing,312852,http://www.google.com/maps/place/29.47493867N 098.39904398W,2022-11-29 18:56:51,2024-06-24 16:04:04,{597286BF-C839-4D43-B09B-C77E61B882B5},2485.573243
37642,504614,SCHOOL ST,DOUP,MONROE,San Antonio,3,211.5425969,1980-01-01,Unknown,,93.14,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,504614,http://www.google.com/maps/place/29.38879302N 098.48240707W,2022-11-29 21:42:48,2024-06-23 8:40:57,{D16FB2D3-2778-4D8D-817D-A3DD6E0C23D3},211.5425969
37691,319088,NACO-PERRIN BLVD,TERRA LOOP RD,CENTER POINT RD,San Antonio,10,380.811334,1980-01-01,Unknown,,74.33,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,48,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule2,Existing,319088,http://www.google.com/maps/place/29.54279779N 098.40954791W,2022-11-29 21:05:04,2024-06-20 18:03:48,{8A664B3C-B911-425C-84CF-F0D0E2CA08BA},380.811334
37927,309023,ELDERPATH PLACE,CUL-DE-SAC,MOUNTAINSIDE RDG,San Antonio,10,303.9040631,1980-01-01,Unknown,,70.73,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,309023,http://www.google.com/maps/place/29.57690956N 098.34821334W,2022-11-29 20:18:05,2024-06-20 18:02:13,{9B19F32D-CD56-4AD2-85AB-C25194A65B6F},303.9040631
37975,505838,N NEW BRAUNFELS AVE,GIBBS ST,CENTER ST,San Antonio,2,334.9498281,2003-05-16,Unknown,,64.35,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,IMP Complete,Schedule2,Existing,505838,http://www.google.com/maps/place/29.42213529N 098.46111186W,2022-11-29 20:03:51,2024-06-23 7:21:18,{E9744EB6-34F3-45AD-9446-B83DD28D93F4},334.9498281
38132,505321,CENTER ST,ST GEORGE,N NEW BRAUNFELS AVE,San Antonio,2,406.2013977,1980-01-01,Unknown,,98.6,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,26,0,Yes,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,505321,http://www.google.com/maps/place/29.42210916N 098.46192197W,2022-11-29 21:37:58,2024-06-23 8:40:55,{96390868-EA40-403F-A27A-587F51A8398D},406.2013977
38413,846092,WURZBACH RD,MEDICAL DR,CHET TODD PKWY,San Antonio,8,628.6129303,1980-01-01,Unknown,,51.31,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,24,40,No,San Antonio,1,Principal,COSA - Public Works Dept,New,Schedule2,Existing,846092,http://www.google.com/maps/place/29.51114031N 098.57989757W,2022-11-30 1:11:13,2024-06-20 18:06:22,{38A76DF1-847B-48F0-9D61-2E8CA5BB63F4},628.6129303
38489,207831,TAMARISK,WINEBERRY DR,ELDERBERRY,San Antonio,7,290.0710197,1980-01-01,Unknown,,63.09,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,28,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,207831,http://www.google.com/maps/place/29.52198351N 098.63206308W,2022-11-29 19:45:06,2024-06-24 7:02:52,{911EB8B2-EBA1-4A1A-BD23-8EC256EF82B7},290.0710197
38946,414366,OLD TEZEL RD,TEZEL RD,ELDERWOOD,San Antonio,6,889.0211235,1980-01-01,Unknown,,98.35,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,30,0,No,San Antonio,1,Local,COSA - Public Works Dept,TBD,Schedule1,Existing,414366,http://www.google.com/maps/place/29.51555556N 098.66386865W,2022-11-29 21:09:45,2024-06-23 8:16:48,{CF0B81CB-D5AF-4CBA-8C39-2148AFF8D781},889.0211235
38982,849403,MEDICAL DR,MEDICAL DR,EWING HALSELL,San Antonio,8,2053.506182,2000-01-01,Unknown,,90.14,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,50,0,Yes,San Antonio,1,Minor,COSA - Public Works Dept,New,Schedule2,Existing,849403,http://www.google.com/maps/place/29.51269473N 098.56938304W,2022-11-30 1:33:36,2024-06-20 18:06:40,{903BD6CC-100F-4822-93E8-96AFBAD3BF60},2053.506182
39062,307799,NACO-PERRIN BLVD,CENTER POINT RD,EL SENDERO,San Antonio,10,550.0113371,1980-01-01,Unknown,,90.02,Field Calculated Length per Otto 5/3/23,Street,AC Asphalt Concrete,40,0,No,San Antonio,1,Minor,COSA - Public Works Dept,TBD,Schedule1,Existing,307799,http://www.google.com/maps/place/29.54161980N 098.40908919W,2022-11-29 19:01:06,2024-06-24 16:07:43,{F98B4F24-54EB-4DF3-A00D-C3F1CCF67C86},550.0113371
