"SwProjectID","ProjectCategory","CouncilDistrict","ProjectStreet","FromStreet","ToStreet","SideOfStreet","EstTotalCost","FiscalYear","ScheduleStart","ScheduleFinish","ActualStart","ActualFinish","PercentComplete","ProjectType","ProjectManager","Contact","ProjectLength","SidewalkInstalledFeet","ProjectStatus","ProjectLimits","Shape_Length","ActStart","ActFinish","ActDuration"
"1829","SW Repair","5","Monterey St","S Calaveras","S Spring","Both Sides",22085.7,2023,NA,NA,NA,NA,NA,NA,NA,NA,2934.47,452,"Completed","Monterey St - Both Sides ( S Calaveras To S Spring )",2937.03728879951,NA,NA,NA
"1838","SW Repair","5","W Travis St","N Calaveras","N Hamilton Ave","Both Sides",31672.35,2023,NA,NA,NA,NA,NA,NA,NA,NA,3817.18,870,"Completed","W Travis St - Both Sides ( N Calaveras To N Hamilton Ave )",3740.70535305411,NA,NA,NA
"1839","SW Repair","9","Oakshire Dr","Brook Holw","Norland Dr","Both Sides",10957.91,2023,NA,NA,NA,NA,NA,NA,NA,NA,2085.74,198,"Completed","Oakshire Dr - Both Sides ( Brook Holw To Norland Dr )",2100.84070237369,NA,NA,NA
"1840","SW Repair","6","Meadow Glen Dr","Meadow Knoll","Sw Loop 410 Access Rd","Both Sides",38938.79,2023,NA,NA,NA,NA,NA,NA,NA,NA,5526.36,1264,"Completed","Meadow Glen Dr - Both Sides ( Meadow Knoll To Sw Loop 410 Access Rd )",5526.36396972172,NA,NA,NA
"1841","SW Repair","9","Periwinkle Place","Cassia Way","Perennial","Both Sides",7572.24,2023,NA,NA,NA,NA,NA,NA,NA,NA,1262.6,64,"Completed","Periwinkle Place - Both Sides ( Cassia Way To Perennial )",1185.20392814972,NA,NA,NA
"1842","SW Repair","9","Cassia Way","Periwinkle Place","Perennial","Both Sides",9465.3,2023,NA,NA,NA,NA,NA,NA,NA,NA,1431.54,133,"Completed","Cassia Way - Both Sides ( Periwinkle Place To Perennial )",1438.88396337012,NA,NA,NA
"1843","SW Repair","7","Peace Pipe Dr","Warpath Dr","Quiver Dr","Both Sides",26078.12,2023,NA,NA,NA,NA,NA,NA,NA,NA,3384.49,504,"Completed","Peace Pipe Dr - Both Sides ( Warpath Dr To Quiver Dr )",3384.49198763996,NA,NA,NA
"1844","SW Repair","7","Wigwam","Quiver Dr","War Bow","Both Sides",33978,2023,NA,NA,NA,NA,NA,NA,NA,NA,1630.95,158,"Completed","Wigwam - Both Sides ( Quiver Dr To War Bow )",1638.83433120572,NA,NA,NA
"1846","SW Repair","8","Spring Garden Dr","Cul-De-Sac","Spring Trl","Both Sides",28820.63,2023,NA,NA,NA,NA,NA,NA,NA,NA,6132.26,1252,"Completed","Spring Garden Dr - Both Sides ( Cul-De-Sac To Spring Trl )",6181.97273689313,NA,NA,NA
"1847","SW Repair","1","Cerro Alto","Blanco Rd","Mt Boracho","Both Sides",18784.98,2023,NA,NA,NA,NA,NA,NA,NA,NA,2532.21,122,"Completed","Cerro Alto - Both Sides ( Blanco Rd To Mt Boracho )",2532.20779645222,NA,NA,NA
"1849","SW Repair","10","Guadalajara Dr","Alamo Blanco","Chapala Way","Both Sides",34492.52,2023,NA,NA,NA,NA,NA,NA,NA,NA,6245.68,826,"Completed","Guadalajara Dr - Both Sides ( Alamo Blanco To Chapala Way )",6245.68261370973,NA,NA,NA
"1859","SW Repair","4","Threadneedle","Ray Ellison Blvd","Cul-De-Sac","Both Sides",17037.54,2023,NA,NA,NA,NA,NA,NA,NA,NA,2617.27,842,"Completed","Threadneedle - Both Sides ( Ray Ellison Blvd To Cul-De-Sac )",2617.27144277516,NA,NA,NA
"1871","SW Repair","10","El Sendero","La Bahia","La Ventana","Both Sides",33990.14,2023,NA,NA,NA,NA,NA,NA,NA,NA,6219.9,1144,"Completed","El Sendero - Both Sides ( La Bahia To La Ventana )",6221.2836853409,NA,NA,NA
"1876","SW Repair","8","Spring Manor Dr","Spring Trl","Spring Time Dr","Both Sides",12523.32,2023,NA,NA,NA,NA,NA,NA,NA,NA,1736.77,659,"Completed","Spring Manor Dr - Both Sides ( Spring Trl To Spring Time Dr )",1736.76899266795,NA,NA,NA
"1878","SW Repair","8","Spring Well Dr","Spring Arbor Dr","Spring Arbor Dr","Both Sides",8737.2,2023,NA,NA,NA,NA,NA,NA,NA,NA,602.89,300,"Completed","Spring Well Dr - Both Sides ( Spring Arbor Dr To Spring Arbor Dr )",771.943517041275,NA,NA,NA
"1879","SW Repair","2","Stoneshire","Dead End","Shadow Way","Both Sides",28395.9,2023,NA,NA,NA,NA,NA,NA,NA,NA,2640.71,904,"Completed","Stoneshire - Both Sides ( Dead End To Shadow Way )",2640.71083835899,NA,NA,NA
"1880","SW Repair","7","Warpath Dr","Ingram Rd","Cul-De-Sac","Both Sides",24852.48,2023,NA,NA,NA,NA,NA,NA,NA,NA,6648.74,1176,"Completed","Warpath Dr - Both Sides ( Ingram Rd To Cul-De-Sac )",6766.36232777667,NA,NA,NA
"1881","SW Repair","2","Woodhollow","Cul-De-Sac","Stoneshire","Both Sides",10411.83,2023,NA,NA,NA,NA,NA,NA,NA,NA,1002.3,169,"Completed","Woodhollow - Both Sides ( Cul-De-Sac To Stoneshire )",1002.30314627516,NA,NA,NA
"1882","SW Repair","3","Monticello Ct","Lyric Ave","Cynthia Linn","Both Sides",10678.8,2023,NA,NA,NA,NA,NA,NA,NA,NA,1096.14,336,"Completed","Monticello Ct - Both Sides ( Lyric Ave To Cynthia Linn )",1096.13747250671,NA,NA,NA
"1884","SW Repair","6","William Travis Dr","Pancho Villa Dr","Viva Max Dr","Both Sides",9610.92,2023,NA,NA,NA,NA,NA,NA,NA,NA,1399.93,184,"Completed","William Travis Dr - Both Sides ( Pancho Villa Dr To Viva Max Dr )",1353.46626292524,NA,NA,NA
"1885","SW Repair","6","Daniel Boone Dr","Pancho Villa Dr","Viva Max Dr","Both Sides",9610.92,2023,NA,NA,NA,NA,NA,NA,NA,NA,1313.07,192,"Completed","Daniel Boone Dr - Both Sides ( Pancho Villa Dr To Viva Max Dr )",1272.52705181361,NA,NA,NA
"1886","SW Repair","5","S Spring","Monterey St","Saunders","Both Sides",4854,2023,NA,NA,NA,NA,NA,NA,NA,NA,651.42,244,"Completed","S Spring - Both Sides ( Monterey St To Saunders )",651.417145654937,NA,NA,NA
"1888","SW Repair","3","Kendalia Ave","Boswell St","S Flores St","Both Sides",36368.6,2023,NA,NA,NA,NA,NA,NA,NA,NA,3808.5,157,"Completed","Kendalia Ave - Both Sides ( Boswell St To S Flores St )",3808.50268005094,NA,NA,NA
"1890","SW Repair","4","Harrow Dr","Ray Ellison Blvd","Sw Loop 410 Access Rd","Both Sides",29609.4,2023,NA,NA,NA,NA,NA,NA,NA,NA,4659.31,855,"Completed","Harrow Dr - Both Sides ( Ray Ellison Blvd To Sw Loop 410 Access Rd )",4659.30556325644,NA,NA,NA
"1891","SW Repair","5","W Houston St","Nw 20Th St","N Calaveras","Both Sides",55723.92,2023,NA,NA,NA,NA,NA,NA,NA,NA,7144.53,1550,"Completed","W Houston St - Both Sides ( Nw 20Th St To N Calaveras )",7199.57237538395,NA,NA,NA
"1898","SW Repair","2","Shadow Way","Cul-De-Sac","Stoneshire","Both Sides",6625.71,2023,NA,NA,NA,NA,NA,NA,NA,NA,646.2,294,"Completed","Shadow Way - Both Sides ( Cul-De-Sac To Stoneshire )",646.202942627772,NA,NA,NA
"1899","SW Repair","7","Rainmaker","Cul-De-Sac","Callaghan Rd","Both Sides",34572.62,2023,NA,NA,NA,NA,NA,NA,NA,NA,2749.89,296,"Completed","Rainmaker - Both Sides ( Cul-De-Sac To Callaghan Rd )",2797.14457370525,NA,NA,NA
"1903","IMP","1","Montview","Northway","Arroya Vista Dr","Both Sides",160767.53,2023,2023-05-29,2023-07-31,2023-05-30,2023-07-12,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",2281.07,2281.07,"Completed","Montview - Both Sides ( Northway To Arroya Vista Dr )",2281.07447636958,2023-05-30,2023-07-12,43
"1918","IMP","1","Edgebrook","Buckeye","West Ave","Both Sides",164946.94,2023,2023-01-17,2023-03-06,2023-01-16,2023-02-13,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",2089.92,2089.92,"Completed","Edgebrook - Both Sides ( Buckeye To West Ave )",2089.92267779139,2023-01-16,2023-02-13,28
"1945","IMP","3","Dumbarton Dr","Se Military Dr","Copinsay Ave","Both Sides",397626.52,2023,2022-12-05,2023-06-05,2022-12-20,2023-02-02,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",5038.03,5038.03,"Completed","Dumbarton Dr - Both Sides ( Se Military Dr To Copinsay Ave )",5038.02561962723,2022-12-20,2023-02-02,44
"1964","IMP","5","Colima St","S Picoso","Sw 19Th St","Both Sides",136121.73,2023,2023-02-20,2023-04-25,2023-02-20,2023-04-25,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",1931.38,1931.38,"Completed","Colima St - Both Sides ( S Picoso To Sw 19Th St )",1931.38202656633,2023-02-20,2023-04-25,64
"1974","IMP","3","Bailey Ave","St Anthony Ave","S New Braunfels Ave","Both Sides",97653.11,2023,2023-05-15,2023-07-14,2023-05-15,2023-09-19,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",1237.29,1237.29,"Completed","Bailey Ave - Both Sides ( St Anthony Ave To S New Braunfels Ave )",1237.29288748936,2023-05-15,2023-09-19,127
"1993","IMP","7","Waverly Ave","Tulane Dr","N General Mcmullen Ave","Both Sides",362313.89,2023,2023-01-03,2023-04-28,2023-01-03,2023-04-21,100,"Sidewalks","Justin Gawlik","Keith Schoonmaker: 210-303-4800",4590.61,4590.61,"None Existing","Waverly Ave - Both Sides ( Tulane Dr To N General Mcmullen Ave )",4632.79154171992,2023-01-03,2023-04-21,108
"2026","IMP","8","Bitternut Woods","Green Willow Woods","Shadow Oak Woods","One Side",113915.58,2023,2023-07-24,2023-10-03,2023-08-21,2023-09-25,100,"Sidewalks","Amir Bahreini","Keith Schoonmaker: 210-303-4800",1240.37,1240.37,"Pending Punchlist","Bitternut Woods - West Side ( Green Willow Woods To Shadow Oak Woods )",1240.37475070801,2023-08-21,2023-09-25,35
"2046","IMP","1","W Rosewood Ave","Neer Ave","Warner Ave","Both Sides",85939.27,2023,2023-01-24,2023-07-17,2023-01-24,2023-02-24,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",1219.36,1219.36,"Completed","W Rosewood Ave - Both Sides ( Neer Ave To Warner Ave )",1220.21442211737,2023-01-24,2023-02-24,31
"2092","IMP","8","Millstead","Stockbridge Ln","Cul-De-Sac","Both Sides",172874.42,2023,2023-07-10,2023-09-29,2023-05-23,2023-08-16,100,"Sidewalks","Emanuel Saldana","Keith Schoonmaker: 210-303-4800",2452.85,2452.85,"Construction","Millstead - Both Sides ( Stockbridge Ln To Cul-De-Sac )",2411.599241073,2023-05-23,2023-08-16,85
"2175","IMP","9","Evans Rd","Evans Spgs","Stone Saddle","One Side",151475.58,2023,2023-09-05,2023-11-22,2023-09-05,2023-09-29,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",2149.23,2149.23,"Pending Punchlist","Evans Rd - North Side ( Evans Spgs To Stone Saddle )",2149.23282892584,2023-09-05,2023-09-29,24
"2220","IMP","9","Rockaway","Circle Path","Hopewell","One Side",56930.12,2023,2022-10-17,2022-11-13,2022-10-17,2022-11-29,100,"Sidewalks","Justin Gawlik","Erick Wildestorm: 210-461-1540",807.76,807.76,"None Existing","Rockaway - North Side ( Circle Path To Hopewell )",820.570122626819,2022-10-17,2022-11-29,43
"2292","IMP","10","Chesterton","Parmenter Dr","Tennyson","One Side",88334.85,2023,2022-10-24,2022-11-28,2022-10-21,2022-11-29,100,"Sidewalks","Justin Gawlik","Erick Wildestorm: 210-461-1540",1253.35,1253.35,"Construction","Chesterton - West Side ( Parmenter Dr To Tennyson )",1253.34853868301,2022-10-21,2022-11-29,39
"2351","IMP","10","Waterford","Flourisant","Wahada","Both Sides",220251.1,2023,2023-07-10,2023-09-30,2023-06-05,2023-09-12,100,"Sidewalks","Justin Gawlik","Erick Wildestorm: 210-461-1540",3125.06,3125.06,"Pending Final","Waterford - Both Sides ( Flourisant To Wahada )",3125.0551471117,2023-06-05,2023-09-12,99
"2376","IMP","10","N Guilford","Eastley","N Guilford","Both Sides",152348.95,2023,2023-06-12,2023-08-24,2023-06-07,2023-08-15,100,"Sidewalks","Justin Gawlik","Erick Wildestorm: 210-461-1540",1443.04,1443.04,"Construction","N Guilford - Both Sides ( Eastley To N Guilford )",1030.85478613889,2023-06-07,2023-08-15,69
"2439","IMP","10","Chapala Way","Casa Espana","Schertz Rd","One Side",104631.01,2023,2023-06-30,2023-07-28,2023-06-28,2023-08-23,100,"Sidewalks","Emanuel Saldana","Erick Wildestorm: 210-461-1540",1484.57,1484.57,"Pending Construction","Chapala Way - West Side ( Casa Espana To Schertz Rd )",1484.57270781883,2023-06-28,2023-08-23,56
"2444","IMP","2","Lincolnshire Dr","Amanda","Calmar","Both Sides",54417.21,2023,2022-12-05,2023-01-30,2022-11-09,2022-12-15,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",689.48,689.48,"Completed","Lincolnshire Dr - Both Sides ( Amanda To Calmar )",665.662400171424,2022-11-09,2022-12-15,36
"2446","IMP","2","Dunaff","Skelton","E Houston St","One Side",27063.38,2023,2023-01-02,2023-04-24,2023-01-02,2023-01-26,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",342.9,342.9,"Completed","Dunaff - West Side ( Skelton To E Houston St )",345.711024939349,2023-01-02,2023-01-26,24
"2448","IMP","2","Dafoste","E Commerce St","Como","Both Sides",49927.32,2023,2023-04-17,2023-06-30,2023-04-17,2023-06-29,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",708.4,708.4,"Completed","Dafoste - Both Sides ( E Commerce St To Como )",692.562688639703,2023-04-17,2023-06-29,73
"2449","IMP","2","Dafoste","Como","Marmok","One Side",59948.73,2023,2023-04-17,2023-06-30,2023-04-17,2023-06-29,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",850.59,850.59,"Completed","Dafoste - West Side ( Como To Marmok )",776.509924494606,2023-04-17,2023-06-29,73
"2450","IMP","2","Dafoste","Marmok","Nellina","Both Sides",242024.3,2023,2023-04-17,2023-06-30,2023-04-17,2023-06-29,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",3066.51,3066.51,"Completed","Dafoste - Both Sides ( Marmok To Nellina )",3081.23362405332,2023-04-17,2023-06-29,73
"2451","IMP","2","Edna Ave","Honey Blvd","Dafoste","Both Sides",204217.26,2023,2022-12-12,2023-02-20,2022-12-21,2023-01-27,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",2223.62,2223.62,"Pending Punchlist","Edna Ave - Both Sides ( Honey Blvd To Dafoste )",2153.95501522208,2022-12-21,2023-01-27,37
"2452","IMP","2","Edna Ave","Gay","Honey Blvd","Both Sides",154187.42,2023,2022-12-12,2023-02-20,2022-12-21,2023-01-27,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",1678.87,1678.87,"Pending Punchlist","Edna Ave - Both Sides ( Gay To Honey Blvd )",1678.86797967407,2022-12-21,2023-01-27,37
"2455","IMP","2","Marmok","Hub Ave","Dafoste","Both Sides",188540.17,2023,2023-05-08,2023-07-21,2023-02-01,2023-03-24,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",2052.92,2052.92,"Completed","Marmok - Both Sides ( Hub Ave To Dafoste )",2052.92305639777,2023-02-01,2023-03-24,51
"2479","IMP","2","Amberson","J St","Cul-De-Sac","Both Sides",63966.74,2023,2023-04-24,2023-07-15,2023-04-13,2023-07-21,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",907.6,907.6,"Completed","Amberson - Both Sides ( J St To Cul-De-Sac )",907.600141834502,2023-04-13,2023-07-21,99
"2482","IMP","2","Bible St","Wycliff","Rigsby Ave","Both Sides",96421.09,2023,2023-03-20,2023-05-31,2023-02-24,2023-03-10,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",1221.68,1221.68,"Completed","Bible St - Both Sides ( Wycliff To Rigsby Ave )",1221.67998296859,2023-02-24,2023-03-10,14
"2496","IMP","2","Tamarak Dr","Noblewood Dr","Rambling","Both Sides",115495.35,2023,2023-02-06,2023-04-03,2023-03-01,2023-04-17,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",1638.72,1638.72,"Construction","Tamarak Dr - Both Sides ( Noblewood Dr To Rambling )",1646.43807784645,2023-03-01,2023-04-17,47
"2510","IMP","2","Wild Oak Dr","Yellow Wood","Sand Ledge","Both Sides",258130.04,2023,2022-12-12,2023-02-01,2022-12-21,2023-02-10,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",3662.51,3662.51,"Completed","Wild Oak Dr - Both Sides ( Yellow Wood To Sand Ledge )",3662.51214172369,2022-12-21,2023-02-10,51
"2552","IMP","6","Grissom Rd","Oakfield Way","Timberhill Dr","One Side",261842.17,2023,2022-11-14,2023-03-18,2022-11-28,2023-02-03,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",3715.18,3715.18,"Completed","Grissom Rd - South Side ( Oakfield Way To Timberhill Dr )",2882.06860639785,2022-11-28,2023-02-03,67
"2599","IMP","6","Timber Path","Grissom Rd","Meadow Trace","Both Sides",70929.82,2023,2023-07-16,2023-08-24,2023-07-16,2023-09-29,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",981.5,981.5,"Construction","Timber Path - Both Sides ( Grissom Rd To Meadow Trace )",981.499975082451,2023-07-16,2023-09-29,75
"2636","IMP","5","Potosi St","S Sabinas","S Trinity","One Side",53624.17,2023,2023-09-18,2023-10-15,2023-09-18,2023-10-06,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",658.45,658.45,"Pending Punchlist","Potosi St - North Side ( S Sabinas To S Trinity )",674.524520058885,2023-09-18,2023-10-06,18
"2648","IMP","5","Lenard","Berlin Ave","Wagner Ave","Both Sides",236999.2,2023,2023-08-28,2023-12-10,2023-08-28,2023-09-20,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",2539.64,2539.64,"Completed","Lenard - Both Sides ( Berlin Ave To Wagner Ave )",2539.63977482902,2023-08-28,2023-09-20,23
"2702","IMP","4","Manzano Dr","Aragon Dr","Reforma Dr","Both Sides",63330.21,2023,2023-03-27,2023-05-26,2023-03-27,2023-04-24,100,"Sidewalks","Karlo Jajliardo","Keith Schoonmaker: 210-303-4800",802.41,802.41,"Completed","Manzano Dr - Both Sides ( Aragon Dr To Reforma Dr )",800.415764888428,2023-03-27,2023-04-24,28
"2707","IMP","4","W Villaret Blvd","Strech Ave","Dead End","Both Sides",327538.75,2023,2023-03-06,2023-05-29,2023-03-06,2023-05-16,100,"Sidewalks","Karlo Jajliardo","Keith Schoonmaker: 210-303-4800",4210.3,4150,"Completed","W Villaret Blvd - Both Sides ( Strech Ave To Dead End )",4182.79656950133,2023-03-06,2023-05-16,71
"2730","IMP","4","Platte Trail Dr","S Ellison Dr","Churing Dr","Both Sides",102972.66,2023,2023-04-03,2023-07-15,2023-04-03,2023-08-01,100,"Sidewalks","Ali Gharibi","Keith Schoonmaker: 210-303-4800",1304.69,1304.69,"Completed","Platte Trail Dr - Both Sides ( S Ellison Dr To Churing Dr )",1255.63108232045,2023-04-03,2023-08-01,120
"2754","IMP","4","Maria Isabel Dr","Algo Dulce","Twining Dr","One Side",25493.66,2023,2023-07-15,2023-07-29,2023-05-02,2023-05-18,100,"Sidewalks","Ali Gharibi","Keith Schoonmaker: 210-303-4800",361.72,361.72,"None Existing","Maria Isabel Dr - East Side ( Algo Dulce To Twining Dr )",349.075428151142,2023-05-02,2023-05-18,16
"2775","IMP","3","Leah Dr","Ashley Rd","Bernard Dr","Both Sides",127456.77,2023,2023-06-05,2023-07-29,2022-12-05,2022-12-22,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",1614.91,1614.91,"Completed","Leah Dr - Both Sides ( Ashley Rd To Bernard Dr )",1614.90607393525,2022-12-05,2022-12-22,17
"2811","IMP","3","Anton Dr","Belford","Fairlawn Dr","Both Sides",442031.3,2023,2023-01-23,2023-07-28,2023-01-23,2023-03-10,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",5600.65,5600.65,"Completed","Anton Dr - Both Sides ( Belford To Fairlawn Dr )",5600.64844709047,2023-01-23,2023-03-10,46
"2849","IMP","4","Hunters Pond","Bigmouth Hook","Sw Loop 410 Access Rd","Both Sides",223329.63,2023,2023-06-05,2023-10-06,2023-08-10,2023-09-29,100,"Sidewalks","Emanuel Saldana","Keith Schoonmaker: 210-303-4800",3168.74,3168.74,"Construction","Hunters Pond - Both Sides ( Bigmouth Hook To Sw Loop 410 Access Rd )",3154.29813002105,2023-08-10,2023-09-29,50
"2850","IMP","7","Globe Ave","Maiden Ln","Hillcrest Dr","Both Sides",205745.71,2023,2023-09-01,2023-10-13,2023-09-27,2023-10-31,100,"Sidewalks","Emanuel Saldana","Keith Schoonmaker: 210-303-4800",1208.19,1208.19,"Construction","Globe Ave - Both Sides ( Maiden Ln To Hillcrest Dr )",2420.31343992076,2023-09-27,2023-10-31,34
"2870","IMP","6","Ascot Park Dr","Culebra Rd","Fairgrounds Pkwy","One Side",109432.04,2023,2023-03-14,2023-05-02,2023-03-14,2023-04-11,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",1552.69,1552.69,"Completed","Ascot Park Dr - East Side ( Culebra Rd To Fairgrounds Pkwy )",1101.93363167763,2023-03-14,2023-04-11,28
"2901","IMP","3","Burton","W Formosa Blvd","W Vestal Place","Both Sides",111069.46,2023,2023-01-18,2023-02-27,2023-01-19,2023-02-23,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",1209.38,1209.38,"Completed","Burton - Both Sides ( W Formosa Blvd To W Vestal Place )",1209.37862618105,2023-01-19,2023-02-23,35
"2951","IMP","4","Solar Dr","Horal Dr","Tomar Dr","Both Sides",154155.28,2023,2023-03-13,2023-05-19,2023-03-13,2023-05-23,100,"Sidewalks","Karlo Jajliardo","Keith Schoonmaker: 210-303-4800",1678.52,1678.52,"Completed","Solar Dr - Both Sides ( Horal Dr To Tomar Dr )",1678.52397296658,2023-03-13,2023-05-23,71
"3084","SW Repair","4","Rayburn Dr","Barlite Blvd","Mallard St","Both Sides",23255.03,2023,NA,NA,NA,NA,NA,NA,NA,NA,3857.17,800,"Completed","Rayburn Dr - Both Sides ( Barlite Blvd To Mallard St )",3857.17412539028,NA,NA,NA
"3097","SW Repair","5","Persyn St","Sw 21St St","Sw 19Th St","Both Sides",7770,2023,NA,NA,NA,NA,NA,NA,NA,NA,1238.88,202,"Completed","Persyn St - Both Sides ( Sw 21St St To Sw 19Th St )",1238.88478621543,NA,NA,NA
"3123","IMP","3","Rigsby Ave","Elgin Ave","Annie Ave","One Side",85816.21,2023,2024-05-20,2024-06-21,NA,NA,NA,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",934.41,934.41,"None Existing","Rigsby Ave - South Side ( Elgin Ave To Annie Ave )",1216.59365938368,NA,NA,NA
"3124","IMP","2","Rigsby Ave","Foothill","Amanda","One Side",126468.27,2023,2023-03-21,2023-04-28,2023-02-20,2023-03-13,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",1377.05,1377.05,"Pending Punchlist","Rigsby Ave - North Side ( Foothill To Amanda )",1377.0451838274,2023-02-20,2023-03-13,21
"3125","IMP","3","Waugh St","Offer","Goliad Rd","One Side",73477.51,2023,2023-03-20,2023-04-15,2023-03-27,2023-06-16,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",800.06,800.06,"Completed","Waugh St - North Side ( Offer To Goliad Rd )",799.139980745817,2023-03-27,2023-06-16,81
"3126","IMP","3","Cravens Ave","S Gevers St","Goliad Rd","Both Sides",256980.26,2023,2023-03-27,2023-07-15,2023-04-03,2023-08-04,100,"Sidewalks","Amir Bahreini","Erick Wildestorm: 210-461-1540",2798.13,2798.13,"Completed","Cravens Ave - Both Sides ( S Gevers St To Goliad Rd )",2786.59601912162,2023-04-03,2023-08-04,123
"3127","IMP","4","Five Palms Dr","Running Horse","Rain Dance Dr","One Side",28678.61,2023,2023-08-01,2023-08-15,2023-05-15,2023-06-08,100,"Sidewalks","Ali Gharibi","Keith Schoonmaker: 210-303-4800",406.91,406.91,"Completed","Five Palms Dr - North Side ( Running Horse To Rain Dance Dr )",406.911868802798,2023-05-15,2023-06-08,24
"3130","IMP","5","Dahlgreen Ave","Ceralvo St","Dead End","Both Sides",259246.87,2023,2023-05-03,2023-08-15,2023-05-03,2023-07-24,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",2822.81,2822.81,"Completed","Dahlgreen Ave - Both Sides ( Ceralvo St To Dead End )",2836.32909368588,2023-05-03,2023-07-24,82
"3131","IMP","5","Valencia","Castroville Rd","Dead End","One Side",182306.49,2023,2023-01-09,2023-03-03,2023-01-09,2023-03-21,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",2309.87,2309.87,"Completed","Valencia - East Side ( Castroville Rd To Dead End )",2318.84593326479,2023-01-09,2023-03-21,71
"3132","IMP","5","Saltillo St","Romero","Madrid","Both Sides",71472.05,2023,2022-11-28,2022-12-30,2022-11-28,2022-12-21,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",1014.09,1014.09,"None Existing","Saltillo St - Both Sides ( Romero To Madrid )",985.999799368908,2022-11-28,2022-12-21,23
"3133","IMP","5","Arboleda","Castroville Rd","Ceralvo St","Both Sides",194658.77,2023,2023-06-19,2023-10-26,2023-06-19,2023-09-30,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",2761.94,2761.94,"Completed","Arboleda - Both Sides ( Castroville Rd To Ceralvo St )",3197.03530630008,2023-06-19,2023-09-30,103
"3134","IMP","5","Priscilla","Berlin Ave","Wagner Ave","Both Sides",174277.65,2023,2022-11-07,2022-12-30,2022-10-31,2022-12-16,100,"Sidewalks","Ahmed Al saadi","Keith Schoonmaker: 210-303-4800",2472.76,2472.76,"None Existing","Priscilla - Both Sides ( Berlin Ave To Wagner Ave )",2566.91528968257,2022-10-31,2022-12-16,46
"3135","IMP","7","Oxford Trace","Rochelle Rd","Abe Lincoln Rd","One Side",169132,2023,2023-05-22,2023-07-28,2023-05-31,2023-09-22,100,"Sidewalks","Justin Gawlik","Keith Schoonmaker: 210-303-4800",2076.78,2076.78,"None Existing","Oxford Trace - North Side ( Rochelle Rd To Abe Lincoln Rd )",5018.83387002166,2023-05-31,2023-09-22,114
"3136","IMP","7","Mary Todd Dr","Abe Lincoln Rd","Rochelle Rd","One Side",163388.65,2023,2022-12-05,2023-02-01,2022-12-05,2023-01-06,100,"Sidewalks","Justin Gawlik","Keith Schoonmaker: 210-303-4800",2318.26,2318.26,"None Existing","Mary Todd Dr - South Side ( Abe Lincoln Rd To Rochelle Rd )",2318.26012327277,2022-12-05,2023-01-06,32
"3146","IMP","1","Howard St","W Hildebrand Ave","W Lullwood Ave","Both Sides",21848.49,2023,2023-04-03,2023-06-05,2023-04-13,2023-04-28,100,"Sidewalks","Luis Ocura","Erick Wildestorm: 210-461-1540",283.58,283.58,"Completed","Howard St - Both Sides ( W Hildebrand Ave To W Lullwood Ave )",151.301216801869,2023-04-13,2023-04-28,15
