ProjectCategory,SMPProjectID,CouncilDistrict,ProjectStreet,StreetFrom,StreetTo,ProjectLimits,FiscalYear,Application,Type_,Force,WeightedPCI,PBaseFail,FieldBasePave,PFlatWork,EstTotalCost,ProjectStatus,ScheduleStart,ScheduleFinish,ActualStart,ActualFinish,ProjectManager,Contact,Shape_Length
Preservation,4666,1,N SABINAS,LOMBRANO,DELGADO ST,Unknown,2019,Crack Seal - City,Sealant,City,93.0,0.0,0.0,0.0,4507.56,IMP,2019-04-01,2019-04-05 00:00:00,2019-01-23,2019-01-23,Rolando Mata,0,1578.7692901214184
Preservation,4668,1,W CYPRESS,N FLORES ST,WOODLIEF,Unknown,2019,Fog Seal - City,Sealant,City,89.0,0.0,0.0,0.0,2088.35,IMP,2019-09-23,2019-09-30 00:00:00,2019-09-14,2019-09-14,Rolando Mata,0,618.1896358293292
Preservation,4670,1,N CALAVERAS,FREDERICKSBURG RD,W WOODLAWN,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,3800.8,Approved 2020,2019-10-14,2019-10-17 00:00:00,2019-10-31,2019-10-31,John Tapia,0,2059.8319999155183
Preservation,4671,1,BUCKEYE,LOCKNERE,BASSE,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,7365.69,Approved 2022,2019-10-21,2019-10-24 00:00:00,2019-11-06,2019-11-06,John Tapia,0,4504.003906030102
Preservation,4672,1,W AGARITA AVE,BELKNAP,McCullough Ave,Unknown,2020,Crack Seal - City,Preservation,City,93.0,0.0,0.0,0.0,3324.72,Approved 2021,2019-10-01,2019-10-03 00:00:00,2019-10-21,2019-10-21,John Tapia,0,1773.263385481982
Preservation,4673,1,W KINGS HWY,BREEDEN ST,DEAD END,Unknown,2020,Fog Seal - City,Preservation,City,81.0,0.0,0.0,0.0,17156.14,Verified,2020-09-28,2020-09-30 00:00:00,2020-09-29,2020-09-30,Sam Sanchez,0,5082.534615324628
Preservation,4675,1,Dryden,Dead End,Neer Ave,Unknown,2021,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,2986.7,Verified,2020-11-02,2020-11-05 00:00:00,2020-11-02,2020-11-03,Sam Sanchez,0,1667.505535432644
Preservation,4677,1,HITCHINGS,W CYPRESS,W POPLAR ST,Unknown,2019,Crack Seal - City,Sealant,City,95.0,0.0,0.0,0.0,675.5,IMP,2019-04-01,2019-04-05 00:00:00,2019-01-28,2019-01-28,Rolando Mata,0,431.7762390759043
Preservation,4682,1,Barchester,Blanco Rd,Dorset,Unknown,2021,Slurry Seal - City,Preservation,City,83.0,0.0,0.0,0.0,16592.0,Verified,2021-09-27,2021-09-30 00:00:00,2021-07-21,2021-07-21,Sam Sanchez,0,1709.3178655668737
Preservation,4690,2,Alfa,Renault,Dauphine,Unknown,2022,Crack Seal,Preservation,City,91.0,0.0,60.0,0.0,578.99,Verification List 2022,2022-02-21,2022-02-24 00:00:00,2022-01-13,2022-01-13,SESC,0,277.1518289591887
Preservation,4691,6,COTTON HOLW,CUL-DE-SAC,RIM LINE DR,Unknown,2020,Crack Seal - City,Preservation,City,93.0,0.0,0.0,0.0,613.81,Approved 2021,2020-02-03,2019-12-31 00:00:00,2019-11-19,2019-11-19,John Tapia,0,231.60239275101048
Preservation,4692,2,AT AND T CENTER PKWY,SBC CENTER PKWY,GEMBLER RD,Unknown,2019,Crack Seal - City,Sealant,City,94.0,0.0,0.0,0.0,17198.72,IMP,2019-01-14,2019-01-18 00:00:00,2019-02-13,2019-02-13,Rolando Mata,0,2512.799158227771
Preservation,4693,6,CULEBRA RD,NW LOOP 410 ACCESS RD,CALLAGHAN RD,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,40.0,0.0,43019.09,Verified,2020-02-03,2020-02-06 00:00:00,2020-02-24,2020-02-27,John Tapia,0,9445.943477874038
Preservation,4694,2,CAROLINA,S CHERRY,S MESQUITE ST,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,0.0,0.0,1694.29,Verified,2020-08-31,2020-09-04 00:00:00,2020-08-31,2020-08-31,Sam Sanchez,0,471.5095851341636
Preservation,4695,6,Lockend,Moortown,Shelley,Unknown,2022,Slurry Seal - Contract,Preservation,Contract,87.0,0.0,3.0,0.0,29163.16,Final Selection 2022,2022-06-30,2022-06-30 00:00:00,2022-05-18,2022-05-18,Unknown,0,1099.6598362134384
Preservation,4696,6,MEADOW FIRE,TIMBER VIEW DR,CUL-DE-SAC,Unknown,2020,Slurry Seal - City,Preservation,City,83.0,0.0,0.0,0.0,4442.96,Verified,2020-06-15,2020-07-15 00:00:00,2020-07-07,2020-07-07,Sam Sanchez,0,458.22144050269407
Preservation,4697,2,CASTLE HUNT DR,CASTLE KNOLL,CASTLE CROSS,Unknown,2019,Crack Seal - City,Sealant,City,93.0,0.0,0.0,0.0,5223.21,Planned Preservation,2019-01-14,2019-01-18 00:00:00,2019-01-31,2019-01-31,Rolando Mata,0,1907.8321665699525
Preservation,4698,6,MEADOW FOREST,MEADOW RIVER,MEADOW PASS,Unknown,2020,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,6364.83,Verified,2020-06-01,2020-06-05 00:00:00,2020-06-24,2020-06-24,Sam Sanchez,0,1549.0355182865924
Preservation,4699,2,CASTLE KNOLL,CASTLE BROOK,DEAD END,Unknown,2019,Fog Seal - Contract,Sealant,Contract,88.0,0.0,0.0,0.0,12895.0,Planned Preservation,2019-10-01,2019-11-30 00:00:00,2019-10-03,2019-10-03,Faustino Benavidez,0,1028.2894088071068
Preservation,4700,2,CASTLE PATH DR,CASTLE PRINCE DR,MIDCROWN DR E,Unknown,2020,Fog Seal - City,Preservation,City,90.0,0.0,0.0,0.0,6748.64,Verified,2020-08-31,2020-09-04 00:00:00,2020-09-15,2020-09-15,Sam Sanchez,0,650.70793540185
Preservation,4702,06,Meadow Pass,Meadow Forest,Meadow Post,Unknown,2023,Slurry Seal,Preservation,City,78.0,0.0,0.0,0.0,5808.26,Verified by CoSA,2023-07-17,2023-07-21 00:00:00,2023-07-24,2023-07-24,Samuel Sanchez,Les Melghem: 210-207-5069,925.3601894714714
Preservation,4703,6,MEADOW RIVER,MEADOW FOREST,MEADOW FIRE,Unknown,2020,Fog Seal - City,Preservation,City,83.0,0.0,0.0,0.0,1407.2,Verified,2020-06-08,2020-06-12 00:00:00,2020-06-24,2020-06-24,Sam Sanchez,0,380.82820633452104
Preservation,4704,6,Millbank Dr,Moortown Dr,Shelley,Unknown,2022,Slurry Seal - Contract,Preservation,Contract,95.0,0.0,2.0,0.0,30426.96,Final Selection 2022,2022-06-30,2022-06-30 00:00:00,2022-05-18,2022-05-18,Unknown,0,1257.1409251999823
Preservation,4705,6,Moortown Dr,Culebra Rd,Topcroft,Unknown,2022,Slurry Seal - Contract,Preservation,Contract,87.0,0.0,2.0,0.0,19040.7,Final Selection 2022,2022-06-30,2022-06-30 00:00:00,2022-05-25,2022-05-25,Unknown,0,769.9796134596006
Preservation,4706,2,CRESHAM DR,CORINNE,GRANTHAM,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,5992.17,Verified,2019-12-09,2019-12-12 00:00:00,2019-11-18,2019-11-20,John Tapia,0,3292.403516725756
Preservation,4708,06,Oriley Dr,Herder Circle Dr,Cul-de-sac,Unknown,2023,Slurry Seal,Preservation,City,84.0,0.0,0.0,0.0,4600.85,Verified by CoSA,2023-07-17,2023-07-21 00:00:00,2023-07-25,2023-07-25,Samuel Sanchez,Les Melghem: 210-207-5069,566.0877052366611
Preservation,4710,2,E DREXEL AVE,DEAD END,PECAN VALLEY DR,Unknown,2020,Crack Seal - City,Preservation,City,90.0,0.0,0.0,0.0,3130.47,Approved 2020,2019-12-09,2020-03-30 00:00:00,2020-01-07,2020-01-07,John Tapia,0,1596.4232037267682
Preservation,4711,2,I ST,HAMPTON ST,AMANDA,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,1897.03,Approved 2020,2019-10-02,2019-10-05 00:00:00,2019-10-02,2019-10-05,John Tapia,0,967.8748734453766
Preservation,4712,2,LA SABRE,CORINNE,GRANTHAM,Unknown,2020,Fog Seal - City,Preservation,City,89.0,0.0,0.0,0.0,4120.08,Verified,2020-09-07,2020-09-11 00:00:00,2020-10-02,2020-10-02,Sam Sanchez,0,1146.5880477269409
Preservation,4713,2,LAKEWOOD DR,BIBLE ST,DIANE RD,Unknown,2020,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,4168.65,Verified,2020-09-07,2020-09-11 00:00:00,2020-08-25,2020-08-25,Sam Sanchez,0,772.291531994554
Preservation,4714,2,LANDMARK DR,PEAR TREE,JUDIVAN,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,3224.28,Approved 2020,2019-11-25,2019-11-28 00:00:00,2019-10-15,2019-10-15,John Tapia,0,1764.845043438936
Preservation,4715,6,RIM LINE DR,WOODLINE,TIMBER VIEW DR,Unknown,2020,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,9416.33,Approved 2021,2020-06-08,2020-07-15 00:00:00,2020-07-02,2020-07-07,Sam Sanchez,0,2274.399183742533
Preservation,4716,6,SHELLEY,CULEBRA RD,MILL BANK DR,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,987.08,Approved 2021,2020-02-10,2019-12-31 00:00:00,2019-11-18,2019-11-18,John Tapia,0,503.61061478890224
Preservation,4717,6,Silent Sunrise,Timber Trace,Water Quail,Unknown,2021,Crack Seal - Contract,Preservation,Contract,89.0,0.0,0.0,0.0,4751.06,Verified,2020-12-31,2020-12-31 00:00:00,2020-10-15,2020-10-15,Michael Farber,0,783.059982436004
Preservation,4718,6,STARHAVEN PLACE,HICKORY GROVE DR,TIMBERCREEK DR,Unknown,2018,Slurry Seal - City,Sealant,City,81.0,0.0,0.0,0.0,11879.0,Planned Preservation,Not Available,Unknown,Not Available,Not Available,Unknown,Unknown,1108.0948781870025
Preservation,4719,6,TIMBERCREEK DR,GRASSFIELD,W MILITARY DR,Unknown,2020,Crack Seal - Contract,Preservation,Contract,91.0,0.0,0.0,0.0,16284.12,Verified,2019-11-01,2019-12-31 00:00:00,2019-12-18,2019-12-18,Faustino Benavides,0,4193.7735640954015
Preservation,4720,1,CARLETON,E SUMMIT,E MULBERRY AVE,Unknown,2019,Fog Seal - City,Sealant,City,86.0,0.0,0.0,0.0,2053.85,IMP,2019-08-30,2019-09-05 00:00:00,2019-09-16,2019-09-16,Rolando Mata,0,622.3752001235616
Preservation,4721,1,E SANDALWOOD LN,TEAK LN,EVEREST AVE,Unknown,2019,Crack Seal - City,Sealant,City,95.0,0.0,0.0,0.0,2012.27,IMP,2019-03-18,2019-03-22 00:00:00,2019-02-25,2019-02-25,Rolando Mata,0,734.9987348040627
Preservation,4722,2,PORTER ST,S NEW BRAUNFELS AVE,S GEVERS ST,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,2813.13,Approved 2020,2019-11-11,2019-11-14 00:00:00,2019-12-19,2019-12-19,John Tapia,0,1435.2679478817463
Preservation,4723,2,Binz-engleman Rd,Ih 35 N Access Rd,Ne Loop 410 Access Rd,Unknown,2021,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,4790.52,Verified,2021-01-04,2021-01-07 00:00:00,2021-01-27,2021-01-27,Sam Sanchez,0,2897.4901708248335
Preservation,4724,2,READWELL DR,UPLAND DR,S WW WHITE RD,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,0.0,0.0,11174.25,Verified,2020-09-07,2020-09-11 00:00:00,2020-09-02,2020-09-17,Sam Sanchez,0,2968.1226942618987
Preservation,4727,2,TWOHIG AVE,HAMPTON ST,G ST,Unknown,2020,Fog Seal - City,Preservation,City,89.0,0.0,0.0,0.0,1695.26,Verified,2020-09-07,2020-09-11 00:00:00,2020-09-01,2020-09-01,Sam Sanchez,0,574.8820966322716
Preservation,4728,2,Hays St,N Pine St,St Charles,Unknown,2021,Crack Seal - City,Preservation,City,94.0,0.0,0.0,0.0,3402.06,Verified,2020-11-30,2020-12-03 00:00:00,2020-11-30,2020-11-30,Sam Sanchez,0,1975.389078951449
Preservation,4729,3,CHANNING,NOPAL ST,S MITTMAN ST,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,2579.03,Approved 2020,2020-02-03,2019-12-30 00:00:00,2019-11-18,2019-11-18,John Tapia,0,1417.0464892144169
Preservation,4731,3,E VESTAL PLACE,W VESTAL PLACE _ PLEASANTON RD,CHAUCER AVE,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,8830.51,Approved 2020,2020-01-27,2020-01-30 00:00:00,2020-01-07,2020-01-07,John Tapia,0,4505.356177560937
Preservation,4732,3,Golf View Dr,Kashmuir Place,Dead End,Unknown,2021,Crack Seal - City,Preservation,City,88.0,0.0,0.0,0.0,2602.13,Verified,2021-02-01,2020-12-31 00:00:00,2020-12-03,2020-12-03,Sam Sanchez,0,1349.0318396309206
Preservation,4733,3,GREER ST,S PINE ST,LYNHURST AVE,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,2802.37,Approved 2020,2020-01-20,2019-12-30 00:00:00,2019-10-09,2019-10-10,John Tapia,0,1819.721524426452
Preservation,4734,3,HIAWATHA,NOPAL ST,S GEVERS ST,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,1172.64,Approved 2020,2020-01-20,2019-12-30 00:00:00,2019-11-06,2019-11-06,John Tapia,0,698.0010355940744
Preservation,4735,3,HUIZAR ST,ROOSEVELT AVE,MISSION RD,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,0.0,0.0,1919.31,Verified,2020-08-24,2020-09-30 00:00:00,2020-08-18,2020-08-18,Sam Sanchez,0,749.0787707536414
Preservation,4736,3,PENNYSTONE AVE,GOLIAD RD,CLARK AVE,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,1356.78,Approved 2020,2020-01-13,2019-12-30 00:00:00,2019-11-06,2019-11-06,John Tapia,0,807.6120890245295
Preservation,4737,3,S MITTMAN ST,RIGSBY AVE,E HIGHLAND BLVD,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,1162.45,Approved 2020,2020-01-02,2019-12-30 00:00:00,2019-11-18,2019-11-18,John Tapia,0,790.7813560783775
Preservation,4739,3,WEBB,S PRESA ST,DEAD END,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,758.37,Approved 2020,2020-01-02,2019-12-30 00:00:00,2019-10-09,2019-10-09,John Tapia,0,451.4107627258132
Preservation,4742,4,Crenshaw St,W Vestal Place,Barrett Palms,Unknown,2021,Fog Seal - City,Preservation,City,89.0,0.0,0.0,0.0,13507.09,Verified,2021-06-07,2021-06-10 00:00:00,2021-06-09,2021-06-10,Sam Sanchez,0,1962.4466556069308
Preservation,4743,4,FARREL,CEDARHURST DR,CUL-DE-SAC,Unknown,2020,Micro Surface - Contract,Preservation,Contract,94.0,0.0,2.0,8.0,29383.21,Verified,2020-05-01,2020-04-15 00:00:00,2020-04-29,2020-04-29,Faustino Benavides,0,739.8478708814963
Preservation,4744,7,E Quill Dr,Bandera Rd,E Sunshine,Unknown,2021,Slurry Seal - Contract,Preservation,Contract,79.0,0.0,0.0,0.0,47277.68,COVID-19,2020-10-29,2020-10-29 00:00:00,2020-10-23,2020-10-23,Michael Farber,0,2724.5641597057297
Preservation,4745,4,Gaddis Blvd,Marek St,S Zarzamora,Unknown,2021,Crack Seal - City,Preservation,City,89.0,0.0,0.0,0.0,4036.31,Verified,2021-03-01,2021-03-04 00:00:00,2021-01-05,2021-01-05,Sam Sanchez,0,1464.7873986642485
Preservation,4746,7,HICKORY ST,W WOODLAWN,W MISTLETOE,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,3.0,0.0,1281.56,Verified,2020-05-11,2020-05-16 00:00:00,2020-06-10,2020-06-10,Sam Sanchez,0,311.8959450510801
Preservation,4747,7,HONEY HILL,NEW FOREST,KNIGHTS BRIDGE,Unknown,2020,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,8778.27,Verified,2020-05-18,2020-05-22 00:00:00,2020-06-08,2020-06-09,Sam Sanchez,0,2257.7103316733896
Preservation,4748,7,KNIGHTS BRIDGE,GLEN RDG,HONEY HILL,Unknown,2020,Fog Seal - City,Preservation,City,89.0,0.0,0.0,0.0,2268.38,Verified,2020-05-18,2020-05-22 00:00:00,2020-05-28,2020-05-28,Sam Sanchez,0,367.5773295091014
Preservation,4749,7,LOST LN,GRISSOM RD,CUL-DE-SAC,Unknown,2020,Fog Seal - City,Preservation,City,89.0,0.0,1.0,0.0,10145.86,Verified,2020-05-18,2020-05-22 00:00:00,2020-06-15,2020-06-22,Sam Sanchez,0,2505.122786579195
Preservation,4750,4,Gaines Mill,Adams Hill Dr,Cul-de-sac,Unknown,2021,Micro Surface - Contract,Preservation,Contract,70.0,0.0,0.0,8.0,17236.52,Verified,2021-09-30,2021-09-30 00:00:00,2021-08-20,2021-08-20,Michael Farber,0,477.3436579323292
Preservation,4751,7,MAIDEN LN,CULEBRA RD,RIVERDALE,Unknown,2020,Crack Seal - City,Preservation,City,95.0,0.0,0.0,0.0,3829.33,Approved 2020,2020-01-13,2020-01-16 00:00:00,2020-01-15,2020-01-15,John Tapia,0,1959.399418547985
Preservation,4752,4,GATESHEAD,WOOLLCOTT,CUL-DE-SAC,Unknown,2019,Fog Seal - City,Sealant,City,85.0,0.0,0.0,0.0,875.56,Planned Preservation,2019-08-02,2019-08-08 00:00:00,2019-08-02,2019-08-02,Rolando Mata,0,232.44995394755472
Preservation,4753,4,GUNSMOKE,BRONCO LN,LANDING AVE,Unknown,2019,Fog Seal - City,Sealant,City,86.0,0.0,0.0,0.0,10116.39,Planned Preservation,2019-07-26,2019-08-01 00:00:00,2019-08-24,2019-09-28,Rolando Mata,0,2667.587157550791
Preservation,4754,4,HARROW DR,RAY ELLISON BLVD,SW LOOP 410 ACCESS RD,Unknown,2019,Fog Seal - City,Sealant,City,89.0,0.0,0.0,0.0,9673.73,Planned Preservation,2019-07-26,2019-08-01 00:00:00,2019-09-06,2019-09-07,Rolando Mata,0,2491.091177144587
Preservation,4755,4,Kelsey Ave,New Laredo Hwy,Briggs Ave,Unknown,2021,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,13260.11,Verified,2021-06-07,2021-06-10 00:00:00,2021-05-27,2021-05-27,Sam Sanchez,0,2582.022230145919
Preservation,4756,7,PEBBLE CRK,TIMBER BEND,TIMBERHILL DR,Unknown,2019,Fog Seal - City,Sealant,City,77.0,0.0,0.0,0.0,1111.69,Planned Preservation,2019-06-21,2019-06-27 00:00:00,2019-06-21,2019-06-21,Rolando Mata,0,334.01180803180165
Preservation,4758,7,TIMBER BEND,GRANITE CRK,PEBBLE CRK,Unknown,2020,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,2276.86,Verified,2020-05-25,2020-05-29 00:00:00,2020-06-04,2020-06-04,Sam Sanchez,0,554.1322610826793
Preservation,4763,1,STOCKTON DR,McCullough Ave,MERTZ DR,Unknown,2020,Slurry Seal - City,Preservation,City,85.0,0.0,0.0,0.0,9527.24,Verified,2020-09-28,2020-09-30 00:00:00,2020-08-11,2020-08-11,Sam Sanchez,0,1202.2625517893962
Preservation,4765,4,MILL VALLEY DR,LARK VALLEY,PINE VALLEY DR,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,0.0,0.0,5072.71,Verified,2020-08-03,2020-09-30 00:00:00,2020-08-10,2020-08-10,Sam Sanchez,0,1234.5730830680134
Preservation,4766,4,Mobile Bay,Wilsons Crk,Cul-de-sac,Unknown,2021,Micro Surface - Contract,Preservation,Contract,78.0,0.0,5.0,8.0,39893.54,Verified,2021-09-30,2021-09-30 00:00:00,2021-08-20,2021-08-20,Michael Farber,0,827.1859198347308
Preservation,4767,7,VAUGHAN PLACE,LOMA LINDA DR,BABCOCK RD,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,0.0,0.0,4259.4,Verified,2020-06-01,2020-06-05 00:00:00,2020-06-15,2020-06-15,Sam Sanchez,0,1036.6259614335972
Preservation,4768,5,BISHOP,W MALONE,DEAD END,Unknown,2020,Crack Seal - City,Preservation,City,90.0,0.0,0.0,0.0,580.6,Approved 2020,2020-02-24,2020-02-27 00:00:00,2020-01-09,2020-01-09,John Tapia,0,319.0118713592714
Preservation,4769,7,W ASHBY PLACE,WILSON BLVD,EMORY,Unknown,2020,Crack Seal - City,Preservation,City,93.0,0.0,0.0,0.0,1484.62,Approved 2020,2020-01-20,2019-12-31 00:00:00,2019-11-26,2019-11-26,John Tapia,0,706.9631318187476
Preservation,4770,4,Parnell Ave,Marek St,S Zarzamora,Unknown,2022,Fog Seal,Preservation,City,87.0,0.0,0.0,0.0,5760.59,Final Selection 2022,2022-08-29,2022-09-02 00:00:00,2022-08-17,2022-08-17,SESC,0,1601.321552372464
Preservation,4771,7,Waverly,Tulane,N General Mcmullen,Unknown,2021,Slurry Seal - City,Preservation,City,78.0,0.0,3.0,0.0,9231.22,Verified,2021-07-26,2021-07-30 00:00:00,2021-08-16,2021-08-16,Sam Sanchez,0,960.0295966836064
Preservation,4772,04,Peterson Ave,Marek St,Parnell Ave,Unknown,2023,Slurry Seal,Preservation,City,75.0,0.0,1.0,0.0,9114.68,Verified by CoSA,2023-08-21,2023-08-25 00:00:00,2023-08-25,2023-08-25,Samuel Sanchez,Les Melghem: 210-207-5069,1388.1255600282084
Preservation,4773,4,SOLAR DR,HUNT LN,TOMAR DR,Unknown,2020,Fog Seal - City,Preservation,City,86.0,0.0,0.0,0.0,13816.03,Verified,2020-08-17,2020-09-30 00:00:00,2020-08-13,2020-08-13,Sam Sanchez,0,3211.370064966029
Preservation,4775,4,White Star,Stoney Crk,Cul-de-sac,Unknown,2021,Crack Seal - City,Preservation,City,68.0,0.0,0.0,0.0,1021.35,Verified,2021-02-15,2020-12-31 00:00:00,2020-12-08,2020-12-08,Sam Sanchez,0,441.6942408596402
Preservation,4776,4,Wilma Jean Dr,W Ansley Blvd,Dead End,Unknown,2021,Crack Seal - City,Preservation,City,78.0,0.0,0.0,0.0,3710.91,Verified,2021-02-15,2021-02-18 00:00:00,2021-01-05,2021-01-05,Sam Sanchez,0,2100.121687513155
Preservation,4777,4,WOOLLCOTT,OLD HILLS LN,CUL-DE-SAC,Unknown,2019,Fog Seal - City,Sealant,City,86.0,0.0,0.0,0.0,1851.84,Planned Preservation,2019-08-02,2019-08-08 00:00:00,2019-08-22,2019-08-23,Rolando Mata,0,491.6437133729748
Preservation,4778,8,MELISSA ANN,BABCOCK RD,DEAD END,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,1591.3,Approved 2020,2019-12-09,2019-12-12 00:00:00,2019-12-11,2019-12-11,John Tapia,0,1033.313284472982
Preservation,4779,5,ALTA VISTA ST,S NAVIDAD,S TRINITY,Unknown,2020,Slurry Seal - City,Preservation,City,94.0,0.0,0.0,0.0,9063.25,Approved 2021,2020-06-29,2020-09-30 00:00:00,2020-08-13,2020-08-13,Sam Sanchez,0,1459.1983939925587
Preservation,4780,8,Spectrum Dr,Rocky Point Dr,Cimarron Path,Unknown,2021,Crack Seal - City,Preservation,City,90.0,0.0,0.0,0.0,1146.5,Verified,2021-01-11,2021-01-14 00:00:00,2021-01-07,2021-01-07,Sam Sanchez,0,671.7422539494094
Preservation,4782,8,SPRING MANOR DR,SPRING TRL,SPRING TIME DR,Unknown,2020,Fog Seal - City,Preservation,City,94.0,0.0,0.0,0.0,3996.59,Approved 2021,2020-05-04,2020-05-08 00:00:00,2020-05-11,2020-05-11,Sam Sanchez,0,915.250117212656
Preservation,4785,5,Arbor Place,Nw 24th St,Nw 19th St,Unknown,2021,Fog Seal - City,Preservation,City,86.0,0.0,1.0,0.0,11059.55,Verified,2021-08-09,2021-08-12 00:00:00,2021-08-19,2021-08-19,Sam Sanchez,0,2073.317828119911
Preservation,4786,5,AZUCENA ST,HORTENCIA ST _ MARIDEL AVE,DEAD END,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,3996.17,Approved 2020,2020-02-24,2020-02-27 00:00:00,2020-01-08,2020-01-08,John Tapia,0,2038.8633939912152
Preservation,4788,9,BLUFF HOLW,WALKER RANCH,CUL-DE-SAC,Unknown,2020,Fog Seal - City,Preservation,City,90.0,0.0,0.0,0.0,4472.46,Verified,2020-03-30,2020-04-03 00:00:00,2020-04-30,2020-04-30,Sam Sanchez,0,931.2505283017792
Preservation,4789,5,BUCKINGHAM,S PRESA ST,E HIGHLAND BLVD,Unknown,2020,Fog Seal - City,Preservation,City,86.0,0.0,0.0,0.0,2710.33,Verified,2020-08-03,2020-09-30 00:00:00,2020-07-27,2020-07-27,Sam Sanchez,0,703.7838722179592
Preservation,4790,5,BUENA VISTA ST,S GENERAL MCMULLEN,SW 27TH ST,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,4280.96,Approved 2020,2020-02-24,2020-02-27 00:00:00,2020-01-27,2020-01-27,John Tapia,0,2265.059959716753
Preservation,4791,5,HIDALGO ST,POTOSI ST,S ZARZAMORA,Unknown,2020,Fog Seal - City,Preservation,City,88.0,0.0,0.0,0.0,3232.91,Verified,2020-06-15,2020-09-30 00:00:00,2020-07-22,2020-07-22,Sam Sanchez,0,740.6486911305846
Preservation,4792,5,HOLZ ST,W COMMERCE ST,DEAD END,Unknown,2020,Fog Seal - City,Preservation,City,87.0,0.0,0.0,0.0,3883.53,Verified,2020-08-03,2020-09-30 00:00:00,2020-07-28,2020-07-29,Sam Sanchez,0,991.8249940358888
Preservation,4793,5,KNOKE,LANDA AVE,W COMMERCE ST,Unknown,2020,Slurry Seal - City,Preservation,City,84.0,0.0,0.0,0.0,7360.38,Verified,2020-07-20,2020-09-30 00:00:00,2020-07-23,2020-07-23,Sam Sanchez,0,866.3792117507837
Preservation,4796,9,MADISON OAK DR,STONE OAK PKWY,CUL-DE-SAC,Unknown,2020,Slurry Seal - City,Preservation,City,80.0,0.0,0.0,0.0,18455.89,Approved 2019,2020-09-15,2020-09-22 00:00:00,2020-09-28,2020-09-29,Sam Sanchez,0,1654.571845138452
Preservation,4799,9,SERENADE,SAN PEDRO AVE,MEMORY,Unknown,2020,Crack Seal - City,Preservation,City,92.0,0.0,0.0,0.0,4523.99,Approved 2020,2019-11-11,2019-11-14 00:00:00,2019-11-18,2019-11-18,John Tapia,0,2154.2780103808736
Preservation,4800,5,Leal St,Nw 26th St,Nw 25th St,Unknown,2021,Fog Seal - City,Preservation,City,85.0,0.0,0.0,0.0,1887.73,Verified,2021-08-09,2021-08-12 00:00:00,2021-08-04,2021-08-04,Sam Sanchez,0,367.58348502616815
Preservation,4801,9,STONEPATH DR,CRESCENT OAKS,LIGHTSTONE DR,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,360.57,Approved 2020,2019-11-18,2019-11-20 00:00:00,2019-11-19,2019-11-19,John Tapia,0,171.69863030284762
Preservation,4802,9,Tammy,Moonglow Dr,Limelight,Unknown,2021,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,3975.3,Verified,2020-12-14,2020-12-17 00:00:00,2020-12-09,2020-12-09,Sam Sanchez,0,1442.6465821729853
Preservation,4804,10,FLICKER DR,GREENJAY DR,BOBWHITE DR,Unknown,2020,Crack Seal - City,Preservation,City,91.0,0.0,0.0,0.0,1623.85,Approved 2020,2019-10-14,2019-10-17 00:00:00,2019-10-17,2019-10-17,John Tapia,0,773.2606088927914
