SwProjectID,ProjectCategory,CouncilDistrict,ProjectStreet,FromStreet,ToStreet,SideOfStreet,EstTotalCost,FiscalYear,ScheduleStart,ScheduleFinish,ActualStart,ActualFinish,PercentComplete,ProjectType,ProjectManager,Contact,ProjectLength,SidewalkInstalledFeet,ProjectStatus,ProjectLimits,Shape_Length
1237,IMP,3,Pickwell Dr,Utopia Ln,Se Military Dr,Both Sides,151404.98,2023,2023-05-15,2023-07-17,2023-07-13,2023-09-29,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,1918.34,1918.34,Completed,Pickwell Dr - Both Sides ( Utopia Ln To Se Military Dr ) ,1918.339487978285
1291,IMP,1,W Hollywood Ave,Brad,Ih 10 W Access Rd,Both Sides,321437.85,2023,2023-01-30,2023-04-03,2023-02-06,2023-04-17,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,4072.7,4072.7,Pending Punchlist,W Hollywood Ave - Both Sides ( Brad To Ih 10 W Access Rd ) ,4072.697810936163
1324,IMP,8,Kyle Seale Pkwy,Sonoma Pkwy,N Loop 1604 W Access Rd,Both Sides,279789.64,2023,2023-09-05,2023-11-22,2023-07-17,2023-09-22,100.0,Sidewalks,Amir Bahreini,Keith Schoonmaker: 210-303-4800,3046.49,3046.49,Construction,Kyle Seale Pkwy - Both Sides ( Sonoma Pkwy To N Loop 1604 W Access Rd ) ,3046.4934494282447
1337,IMP,6,Hidden Rose,Hidden Falls,Hidden Swan,West Side,58565.13,2023,2023-08-28,2023-10-01,2023-09-20,2023-10-05,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,719.12,719.12,Pending Punchlist,Hidden Rose - West Side ( Hidden Falls To Hidden Swan ) ,719.1154812860998
1358,IMP,7,Halleck Dr,Farragut Dr,Cul-De-Sac,Both Sides,106109.21,2023,2023-02-22,2023-06-19,2022-12-14,2023-04-17,100.0,Sidewalks,Justin Gawlik,Keith Schoonmaker: 210-303-4800,1005.06,1005.06,None Existing,Halleck Dr - Both Sides ( Farragut Dr To Cul-De-Sac ) ,1056.4627815067504
1360,IMP,7,Farragut Dr,Callaghan Rd,Alladin Dr,South Side,44614.95,2023,2023-06-12,2023-07-14,2022-12-19,2023-02-22,100.0,Sidewalks,Justin Gawlik,Keith Schoonmaker: 210-303-4800,485.79,485.79,None Existing,Farragut Dr - South Side ( Callaghan Rd To Alladin Dr ) ,424.0623512672756
1451,IMP,3,Dodic Place,Barranca Ave,Bascum Blvd,North Side,182248.09,2023,2023-03-14,2023-05-27,2023-04-03,2023-07-03,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,2309.13,2309.13,Completed,Dodic Place - North Side ( Barranca Ave To Bascum Blvd ) ,2309.130088643503
1455,IMP,1,Shady Rill,Vance Jackson,Neer Ave,North Side,173354.36,2023,2023-03-06,2023-07-15,2023-03-29,2023-07-19,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2487.15,2487.15,Construction,Shady Rill - North Side ( Vance Jackson To Neer Ave ) ,2490.3461859499025
1459,IMP,1,Shady Rill,Vance Jackson,Neer Ave,South Side,173834.59,2023,2023-03-06,2023-07-15,2023-03-29,2023-07-19,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2494.04,2494.04,Construction,Shady Rill - South Side ( Vance Jackson To Neer Ave ) ,2493.219764434751
1476,IMP,1,Santa Barbara,Catalina,Ih 10 W Access Rd,Both Sides,38481.37,2023,2023-01-17,2023-01-31,2023-01-16,2023-02-06,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,552.1,552.1,Completed,Santa Barbara - Both Sides ( Catalina To Ih 10 W Access Rd ) ,552.1049720518183
1487,IMP,2,Manhattan,King Krest,Gembler Rd,Both Sides,156495.32,2023,2023-01-23,2023-03-20,2023-01-23,2023-02-17,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2245.27,2245.27,Completed,Manhattan - Both Sides ( King Krest To Gembler Rd ) ,2196.4778574232364
1494,IMP,3,Christine Dr,Piedmont Ave,Cul-De-Sac,Both Sides,119724.79,2023,2023-04-03,2023-05-30,2022-11-28,2023-01-03,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,1698.73,1698.73,Completed,Christine Dr - Both Sides ( Piedmont Ave To Cul-De-Sac ) ,1692.2445036053098
1516,IMP,5,Holly St,Barclay St,Sw 21St St,Both Sides,86374.73,2023,2023-03-06,2023-04-24,2023-03-06,2023-04-19,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1094.39,1094.39,Completed,Holly St - Both Sides ( Barclay St To Sw 21St St ) ,1075.4658674390023
1536,IMP,1,Santa Anna,Santa Paula,Dead End,North Side,39433.47,2023,2023-03-20,2023-04-30,2023-02-20,2023-03-09,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,565.76,565.76,Completed,Santa Anna - North Side ( Santa Paula To Dead End ) ,565.756499345755
1540,IMP,5,Quintana Rd,Lester,Dacus,West Side,180926.85,2023,2023-03-20,2023-05-18,2023-03-20,2023-05-02,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1810.4,1810.4,Completed,Quintana Rd - West Side ( Lester To Dacus ) ,1810.4020356067165
1541,IMP,5,Dacus,Creighton Ave,Dead End,Both Sides,112685.48,2023,2023-03-31,2023-05-13,2023-04-03,2023-05-02,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1067.35,1067.35,Completed,Dacus - Both Sides ( Creighton Ave To Dead End ) ,1080.7202542435457
1551,IMP,5,Humble Ave,W Malone,W Winnipeg Ave,West Side,61769.37,2023,2023-05-15,2023-06-05,2023-05-15,2023-06-05,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,618.08,618.08,Completed,Humble Ave - West Side ( W Malone To W Winnipeg Ave ) ,123.14329022307965
1585,IMP,6,Oakhill Rd,War Arrow Dr,Farragut Dr,East Side,61249.57,2023,2023-04-24,2023-05-28,2023-05-24,2023-05-28,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,878.76,878.76,Completed,Oakhill Rd - East Side ( War Arrow Dr To Farragut Dr ) ,879.9451848031621
1593,IMP,6,Palmgrove,Singing Brook,Timbercreek Dr,West Side,82587.29,2023,2023-03-13,2023-04-28,2023-03-13,2023-04-11,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1171.8,1171.8,Completed,Palmgrove - West Side ( Singing Brook To Timbercreek Dr ) ,1171.7954102475326
1606,IMP,6,Cooks Pt,Charter Pt,Fairpoint,West Side,16424.43,2023,2023-04-17,2023-04-29,2023-04-03,2023-05-02,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,233.04,233.04,Completed,Cooks Pt - West Side ( Charter Pt To Fairpoint ) ,233.04233194667935
1611,IMP,6,Mystic Bend,Orchard Bend,Laurel Bend,South Side,14007.85,2023,2023-07-05,2023-07-13,2023-07-05,2023-07-13,100.0,Sidewalks,Justin Gawlik,Keith Schoonmaker: 210-303-4800,191.27,191.27,Completed,Mystic Bend - South Side ( Orchard Bend To Laurel Bend ) ,191.27336583537752
1627,IMP,5,Wagner Ave,Votaw St,Wabash St,Both Sides,92010.76,2023,2022-10-17,2022-11-30,2022-10-24,2022-11-30,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1165.8,1165.8,None Existing,Wagner Ave - Both Sides ( Votaw St To Wabash St ) ,1221.6481665908427
1666,IMP,1,N Calaveras,Culebra Rd,Cincinnati Ave,Both Sides,199737.49,2023,2023-03-27,2023-06-08,2023-03-01,2023-04-28,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2168.64,2834.0,Completed,N Calaveras - Both Sides ( Culebra Rd To Cincinnati Ave ) ,2168.6363089041292
1738,IMP,10,Asteroid,Wroxton Rd,Dead End,Both Sides,217695.67,2023,2023-07-01,2023-08-30,2023-07-10,2023-09-25,100.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,2758.26,2758.26,Completed,Asteroid - Both Sides ( Wroxton Rd To Dead End ) ,2758.2552027518977
1745,IMP,5,Leroux St,Barclay St,Sw 21St St,Both Sides,133820.06,2023,2023-02-07,2023-04-06,2023-02-07,2023-05-02,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1457.1,1457.1,Completed,Leroux St - Both Sides ( Barclay St To Sw 21St St ) ,1463.9857010693277
1746,IMP,5,Matthews Ave,Barclay St,Sw 21St St,Both Sides,96742.32,2023,2023-02-13,2023-04-02,2023-02-13,2023-03-21,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1225.75,1225.75,Completed,Matthews Ave - Both Sides ( Barclay St To Sw 21St St ) ,1219.9478765241045
1751,IMP,2,Summer Fest Dr,City Limits,Misty Springs Dr,Both Sides,53975.68,2023,2023-04-10,2023-05-26,2023-04-10,2023-04-17,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,774.4,774.4,Completed,Summer Fest Dr - Both Sides ( City Limits To Misty Springs Dr ) ,774.3973336754591
1757,IMP,6,James Bonham Dr,Pancho Villa Dr,Cul-De-Sac,West Side,16659.0,2023,2023-06-12,2023-06-22,2023-06-12,2023-06-22,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,239.01,245.0,Completed,James Bonham Dr - West Side ( Pancho Villa Dr To Cul-De-Sac ) ,232.50097444068368
1758,IMP,7,Wild Cherry,Donaldson Ave,John Page Dr,Both Sides,88802.84,2023,2023-08-20,2023-09-30,2023-06-05,2023-08-05,100.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,1259.99,1259.99,None Existing,Wild Cherry - Both Sides ( Donaldson Ave To John Page Dr ) ,1259.9853617851925
1759,IMP,7,Alston,Greenside,Hemphill St,Both Sides,23372.5,2023,2023-03-13,2023-04-28,2023-04-24,2023-06-02,100.0,Sidewalks,Justin Gawlik,Keith Schoonmaker: 210-303-4800,335.33,335.33,None Existing,Alston - Both Sides ( Greenside To Hemphill St ) ,333.1314917592804
1774,IMP,6,Rich Way,Silverway,Silverton,North Side,71252.92,2023,2023-03-20,2023-04-22,2023-03-20,2023-05-16,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1022.28,1022.28,Completed,Rich Way - North Side ( Silverway To Silverton ) ,969.07709313519
1776,IMP,6,Ingram Rd,Potranco Rd,Midhurst Ave,East Side,25140.09,2023,2023-03-29,2023-04-28,2023-03-29,2023-04-21,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,360.69,360.69,Construction,Ingram Rd - East Side ( Potranco Rd To Midhurst Ave ) ,381.2867328235069
1796,IMP,8,Lockhill-Selma Rd,Queens Forest,Hunters Cir,South Side,153412.05,2023,2023-07-24,2023-09-26,2023-02-15,2023-06-12,100.0,Sidewalks,Amir Bahreini,Keith Schoonmaker: 210-303-4800,1943.77,1943.77,Completed,Lockhill-Selma Rd - South Side ( Queens Forest To Hunters Cir ) ,1943.7737090622888
1802,SW Repair,1,Edgebrook,Rosehill Dr,Brookview Dr,Both Sides,23663.25,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3598.56,831.0,Completed,Edgebrook - Both Sides ( Rosehill Dr To Brookview Dr ) ,3598.555339599662
1804,SW Repair,2,Woodbrook,Woodhill,Dead End,Both Sides,13761.09,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1635.51,561.0,Completed,Woodbrook - Both Sides ( Woodhill To Dead End ) ,1635.5113900232254
1805,SW Repair,2,Woodcraft,Woodbrook,Stoneshire,Both Sides,17911.26,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2377.34,512.0,Completed,Woodcraft - Both Sides ( Woodbrook To Stoneshire ) ,2377.339403661355
1806,SW Repair,2,Thornwood,Woodbrook,Stoneshire,Both Sides,13324.23,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1674.8,500.0,Completed,Thornwood - Both Sides ( Woodbrook To Stoneshire ) ,1674.7989367597952
1808,SW Repair,2,Woodgreen,Stoneshire,Woodbrook,Both Sides,15654.15,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2058.1,484.0,Completed,Woodgreen - Both Sides ( Stoneshire To Woodbrook ) ,2058.1035634516556
1810,SW Repair,3,Hot Wells,S Presa St,Russi St,Both Sides,35676.9,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,4550.5,1514.0,Completed,Hot Wells - Both Sides ( S Presa St To Russi St ) ,4550.502245377179
1812,SW Repair,3,E White Ave,Trenton St,Mission Rd,South Side,20386.8,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2884.71,678.0,Completed,E White Ave - South Side ( Trenton St To Mission Rd ) ,2884.712543858055
1814,SW Repair,3,Sussex Ave,Loleta,Shannon,Both Sides,30580.2,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3754.6,482.0,Completed,Sussex Ave - Both Sides ( Loleta To Shannon ) ,2754.306434638901
1816,SW Repair,3,Clutter Ave,S Flores St,Trenton St,North Side,8737.2,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,772.41,208.0,Completed,Clutter Ave - North Side ( S Flores St To Trenton St ) ,772.4147808766413
1824,SW Repair,4,Farmsville Dr,Berryville,Adams Hill Dr,Both Sides,18639.36,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2359.71,415.0,Completed,Farmsville Dr - Both Sides ( Berryville To Adams Hill Dr ) ,2359.7063528553285
1825,SW Repair,5,Saunders,S Spring,S Hamilton Ave,Both Sides,6989.76,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,608.19,342.0,Completed,Saunders - Both Sides ( S Spring To S Hamilton Ave ) ,608.19143265476
1828,SW Repair,6,Pipers Field,Cul-De-Sac,Pipers Hill,Both Sides,15843.46,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2204.56,432.0,Completed,Pipers Field - Both Sides ( Cul-De-Sac To Pipers Hill ) ,2204.561562135438
1829,SW Repair,5,Monterey St,S Calaveras,S Spring,Both Sides,22085.7,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2934.47,452.0,Completed,Monterey St - Both Sides ( S Calaveras To S Spring ) ,2937.037288799513
1838,SW Repair,5,W Travis St,N Calaveras,N Hamilton Ave,Both Sides,31672.35,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3817.18,870.0,Completed,W Travis St - Both Sides ( N Calaveras To N Hamilton Ave ) ,3740.7053530541098
1839,SW Repair,9,Oakshire Dr,Brook Holw,Norland Dr,Both Sides,10957.91,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2085.74,198.0,Completed,Oakshire Dr - Both Sides ( Brook Holw To Norland Dr ) ,2100.8407023736886
1840,SW Repair,6,Meadow Glen Dr,Meadow Knoll,Sw Loop 410 Access Rd,Both Sides,38938.79,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,5526.36,1264.0,Completed,Meadow Glen Dr - Both Sides ( Meadow Knoll To Sw Loop 410 Access Rd ) ,5526.363969721716
1841,SW Repair,9,Periwinkle Place,Cassia Way,Perennial,Both Sides,7572.24,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1262.6,64.0,Completed,Periwinkle Place - Both Sides ( Cassia Way To Perennial ) ,1185.2039281497237
1842,SW Repair,9,Cassia Way,Periwinkle Place,Perennial,Both Sides,9465.3,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1431.54,133.0,Completed,Cassia Way - Both Sides ( Periwinkle Place To Perennial ) ,1438.8839633701211
1843,SW Repair,7,Peace Pipe Dr,Warpath Dr,Quiver Dr,Both Sides,26078.12,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3384.49,504.0,Completed,Peace Pipe Dr - Both Sides ( Warpath Dr To Quiver Dr ) ,3384.491987639956
1844,SW Repair,7,Wigwam,Quiver Dr,War Bow,Both Sides,33978.0,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1630.95,158.0,Completed,Wigwam - Both Sides ( Quiver Dr To War Bow ) ,1638.8343312057232
1846,SW Repair,8,Spring Garden Dr,Cul-De-Sac,Spring Trl,Both Sides,28820.63,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,6132.26,1252.0,Completed,Spring Garden Dr - Both Sides ( Cul-De-Sac To Spring Trl ) ,6181.972736893126
1847,SW Repair,1,Cerro Alto,Blanco Rd,Mt Boracho,Both Sides,18784.98,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2532.21,122.0,Completed,Cerro Alto - Both Sides ( Blanco Rd To Mt Boracho ) ,2532.207796452218
1849,SW Repair,10,Guadalajara Dr,Alamo Blanco,Chapala Way,Both Sides,34492.52,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,6245.68,826.0,Completed,Guadalajara Dr - Both Sides ( Alamo Blanco To Chapala Way ) ,6245.682613709727
1859,SW Repair,4,Threadneedle,Ray Ellison Blvd,Cul-De-Sac,Both Sides,17037.54,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2617.27,842.0,Completed,Threadneedle - Both Sides ( Ray Ellison Blvd To Cul-De-Sac ) ,2617.271442775163
1871,SW Repair,10,El Sendero,La Bahia,La Ventana,Both Sides,33990.14,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,6219.9,1144.0,Completed,El Sendero - Both Sides ( La Bahia To La Ventana ) ,6221.283685340903
1876,SW Repair,8,Spring Manor Dr,Spring Trl,Spring Time Dr,Both Sides,12523.32,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1736.77,659.0,Completed,Spring Manor Dr - Both Sides ( Spring Trl To Spring Time Dr ) ,1736.7689926679498
1878,SW Repair,8,Spring Well Dr,Spring Arbor Dr,Spring Arbor Dr,Both Sides,8737.2,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,602.89,300.0,Completed,Spring Well Dr - Both Sides ( Spring Arbor Dr To Spring Arbor Dr ) ,771.9435170412754
1879,SW Repair,2,Stoneshire,Dead End,Shadow Way,Both Sides,28395.9,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2640.71,904.0,Completed,Stoneshire - Both Sides ( Dead End To Shadow Way ) ,2640.7108383589875
1880,SW Repair,7,Warpath Dr,Ingram Rd,Cul-De-Sac,Both Sides,24852.48,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,6648.74,1176.0,Completed,Warpath Dr - Both Sides ( Ingram Rd To Cul-De-Sac ) ,6766.362327776669
1881,SW Repair,2,Woodhollow,Cul-De-Sac,Stoneshire,Both Sides,10411.83,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1002.3,169.0,Completed,Woodhollow - Both Sides ( Cul-De-Sac To Stoneshire ) ,1002.3031462751594
1882,SW Repair,3,Monticello Ct,Lyric Ave,Cynthia Linn,Both Sides,10678.8,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1096.14,336.0,Completed,Monticello Ct - Both Sides ( Lyric Ave To Cynthia Linn ) ,1096.1374725067135
1884,SW Repair,6,William Travis Dr,Pancho Villa Dr,Viva Max Dr,Both Sides,9610.92,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1399.93,184.0,Completed,William Travis Dr - Both Sides ( Pancho Villa Dr To Viva Max Dr ) ,1353.4662629252398
1885,SW Repair,6,Daniel Boone Dr,Pancho Villa Dr,Viva Max Dr,Both Sides,9610.92,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,1313.07,192.0,Completed,Daniel Boone Dr - Both Sides ( Pancho Villa Dr To Viva Max Dr ) ,1272.5270518136067
1886,SW Repair,5,S Spring,Monterey St,Saunders,Both Sides,4854.0,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,651.42,244.0,Completed,S Spring - Both Sides ( Monterey St To Saunders ) ,651.4171456549373
1888,SW Repair,3,Kendalia Ave,Boswell St,S Flores St,Both Sides,36368.6,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,3808.5,157.0,Completed,Kendalia Ave - Both Sides ( Boswell St To S Flores St ) ,3808.502680050944
1890,SW Repair,4,Harrow Dr,Ray Ellison Blvd,Sw Loop 410 Access Rd,Both Sides,29609.4,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,4659.31,855.0,Completed,Harrow Dr - Both Sides ( Ray Ellison Blvd To Sw Loop 410 Access Rd ) ,4659.305563256437
1891,SW Repair,5,W Houston St,Nw 20Th St,N Calaveras,Both Sides,55723.92,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,7144.53,1550.0,Completed,W Houston St - Both Sides ( Nw 20Th St To N Calaveras ) ,7199.5723753839475
1898,SW Repair,2,Shadow Way,Cul-De-Sac,Stoneshire,Both Sides,6625.71,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,646.2,294.0,Completed,Shadow Way - Both Sides ( Cul-De-Sac To Stoneshire ) ,646.2029426277722
1899,SW Repair,7,Rainmaker,Cul-De-Sac,Callaghan Rd,Both Sides,34572.62,2023,Not Available,Not Available,Not Available,Not Available,0.0,Unknown,Unknown,Unknown,2749.89,296.0,Completed,Rainmaker - Both Sides ( Cul-De-Sac To Callaghan Rd ) ,2797.14457370525
1903,IMP,1,Montview,Northway,Arroya Vista Dr,Both Sides,160767.53,2023,2023-05-29,2023-07-31,2023-05-30,2023-07-12,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2281.07,2281.07,Completed,Montview - Both Sides ( Northway To Arroya Vista Dr ) ,2281.074476369578
1918,IMP,1,Edgebrook,Buckeye,West Ave,Both Sides,164946.94,2023,2023-01-17,2023-03-06,2023-01-16,2023-02-13,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,2089.92,2089.92,Completed,Edgebrook - Both Sides ( Buckeye To West Ave ) ,2089.922677791391
1945,IMP,3,Dumbarton Dr,Se Military Dr,Copinsay Ave,Both Sides,397626.52,2023,2022-12-05,2023-06-05,2022-12-20,2023-02-02,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,5038.03,5038.03,Completed,Dumbarton Dr - Both Sides ( Se Military Dr To Copinsay Ave ) ,5038.025619627235
1964,IMP,5,Colima St,S Picoso,Sw 19Th St,Both Sides,136121.73,2023,2023-02-20,2023-04-25,2023-02-20,2023-04-25,100.0,Sidewalks,Ahmed Al saadi,Keith Schoonmaker: 210-303-4800,1931.38,1931.38,Completed,Colima St - Both Sides ( S Picoso To Sw 19Th St ) ,1931.3820265663269
1974,IMP,3,Bailey Ave,St Anthony Ave,S New Braunfels Ave,Both Sides,97653.11,2023,2023-05-15,2023-07-14,2023-05-15,2023-09-19,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,1237.29,1237.29,Completed,Bailey Ave - Both Sides ( St Anthony Ave To S New Braunfels Ave ) ,1237.292887489362
1993,IMP,7,Waverly Ave,Tulane Dr,N General Mcmullen Ave,Both Sides,362313.89,2023,2023-01-03,2023-04-28,2023-01-03,2023-04-21,100.0,Sidewalks,Justin Gawlik,Keith Schoonmaker: 210-303-4800,4590.61,4590.61,None Existing,Waverly Ave - Both Sides ( Tulane Dr To N General Mcmullen Ave ) ,4632.791541719925
2026,IMP,8,Bitternut Woods,Green Willow Woods,Shadow Oak Woods,West Side,113915.58,2023,2023-07-24,2023-10-03,2023-08-21,2023-09-25,100.0,Sidewalks,Amir Bahreini,Keith Schoonmaker: 210-303-4800,1240.37,1240.37,Pending Punchlist,Bitternut Woods - West Side ( Green Willow Woods To Shadow Oak Woods ) ,1240.374750708013
2046,IMP,1,W Rosewood Ave,Neer Ave,Warner Ave,Both Sides,85939.27,2023,2023-01-24,2023-07-17,2023-01-24,2023-02-24,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,1219.36,1219.36,Completed,W Rosewood Ave - Both Sides ( Neer Ave To Warner Ave ) ,1220.2144221173692
2092,IMP,8,Millstead,Stockbridge Ln,Cul-De-Sac,Both Sides,172874.42,2023,2023-07-10,2023-09-29,2023-05-23,2023-08-16,100.0,Sidewalks,Emanuel Saldana,Keith Schoonmaker: 210-303-4800,2452.85,2452.85,Construction,Millstead - Both Sides ( Stockbridge Ln To Cul-De-Sac ) ,2411.5992410729955
2175,IMP,9,Evans Rd,Evans Spgs,Stone Saddle,North Side,151475.58,2023,2023-09-05,2023-11-22,2023-09-05,2023-09-29,100.0,Sidewalks,Amir Bahreini,Erick Wildestorm: 210-461-1540,2149.23,2149.23,Pending Punchlist,Evans Rd - North Side ( Evans Spgs To Stone Saddle ) ,2149.2328289258385
2220,IMP,9,Rockaway,Circle Path,Hopewell,North Side,56930.12,2023,2022-10-17,2022-11-13,2022-10-17,2022-11-29,100.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,807.76,807.76,None Existing,Rockaway - North Side ( Circle Path To Hopewell ) ,820.5701226268194
2292,IMP,10,Chesterton,Parmenter Dr,Tennyson,West Side,88334.85,2023,2022-10-24,2022-11-28,2022-10-21,2022-11-29,100.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,1253.35,1253.35,Construction,Chesterton - West Side ( Parmenter Dr To Tennyson ) ,1253.3485386830052
2351,IMP,10,Waterford,Flourisant,Wahada,Both Sides,220251.1,2023,2023-07-10,2023-09-30,2023-06-05,2023-09-12,100.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,3125.06,3125.06,Pending Final,Waterford - Both Sides ( Flourisant To Wahada ) ,3125.0551471116983
2376,IMP,10,N Guilford,Eastley,N Guilford,Both Sides,152348.95,2023,2023-06-12,2023-08-24,2023-06-07,2023-08-15,100.0,Sidewalks,Justin Gawlik,Erick Wildestorm: 210-461-1540,1443.04,1443.04,Construction,N Guilford - Both Sides ( Eastley To N Guilford ) ,1030.8547861388913
2439,IMP,10,Chapala Way,Casa Espana,Schertz Rd,West Side,104631.01,2023,2023-06-30,2023-07-28,2023-06-28,2023-08-23,100.0,Sidewalks,Emanuel Saldana,Erick Wildestorm: 210-461-1540,1484.57,1484.57,Pending Construction,Chapala Way - West Side ( Casa Espana To Schertz Rd ) ,1484.5727078188318
2444,IMP,2,Lincolnshire Dr,Amanda,Calmar,Both Sides,54417.21,2023,2022-12-05,2023-01-30,2022-11-09,2022-12-15,100.0,Sidewalks,Luis Ocura,Erick Wildestorm: 210-461-1540,689.48,689.48,Completed,Lincolnshire Dr - Both Sides ( Amanda To Calmar ) ,665.6624001714239
